source,target,ligand_complex,receptor_complex,consensus,cellphonedb,membership
Pre-B small,Monocyte non-classical,HLA-B,LILRB2,True,False,consensus
Pre-B small,NK,B2M,KLRD1,True,False,consensus
Pre-B small,NK,HLA-B,KLRD1,True,False,consensus
Pre-B small,Plasmacytoid DC,HLA-DRA,CD4,True,False,consensus
T activated,Monocyte non-classical,HLA-B,LILRB2,True,False,consensus
T activated,NK,B2M,KLRD1,True,False,consensus
T activated,NK,HLA-B,KLRD1,True,False,consensus
T activated,NK,B2M,KLRC1,True,False,consensus
T proliferating,Dendritic cell,B2M,CD1C,True,False,consensus
T proliferating,Monocyte non-classical,HLA-A,LILRB2,True,False,consensus
T proliferating,Monocyte non-classical,HLA-B,LILRB2,True,False,consensus
T proliferating,Monocyte non-classical,HLA-C,LILRB2,True,False,consensus
T proliferating,NK,B2M,KLRD1,True,False,consensus
T proliferating,NK,HLA-B,KLRD1,True,False,consensus
T proliferating,NK,B2M,KLRC1,True,False,consensus
T proliferating,T proliferating,HLA-A,CD8A,True,False,consensus
T proliferating,T proliferating,HLA-C,CD8A,True,False,consensus
T proliferating,T proliferating,CCL5,CXCR3,True,False,consensus
