program,library,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
program_18,Reactome,MAP2K and MAPK Activation,4/11,0.0014808691519670604,0.023755609312804928,11.773056994818653,76.70295088884967,VWF;ACTB;ITGA2B;TLN1
program_18,Reactome,Signaling by High-Kinase Activity BRAF Mutants,4/11,0.0014808691519670604,0.023755609312804928,11.773056994818653,76.70295088884967,VWF;ACTB;ITGA2B;TLN1
program_18,Reactome,Diseases of Hemostasis,3/6,0.00217374378984872,0.025360344214901732,19.46153846153846,119.32461541103696,VWF;GP1BA;GP9
program_18,Reactome,GRB2 SOS Provides Linkage to MAPK Signaling for Integrins,3/6,0.00217374378984872,0.025360344214901732,19.46153846153846,119.32461541103696,VWF;ITGA2B;TLN1
program_18,Reactome,Glucagon Signaling in Metabolic Regulation,3/6,0.00217374378984872,0.025360344214901732,19.46153846153846,119.32461541103696,PRKAR2B;GNG11;ADCY6
program_18,Reactome,Paradoxical Activation of RAF Signaling by Kinase Inactive BRAF,4/12,0.0021366164466071974,0.025360344214901732,10.382505333739713,63.83716421773965,VWF;ACTB;ITGA2B;TLN1
program_18,Reactome,Signaling Downstream of RAS Mutants,4/12,0.0021366164466071974,0.025360344214901732,10.382505333739713,63.83716421773965,VWF;ACTB;ITGA2B;TLN1
program_18,Reactome,Signaling by BRAF and RAF1 Fusions,4/12,0.0021366164466071974,0.025360344214901732,10.382505333739713,63.83716421773965,VWF;ACTB;ITGA2B;TLN1
program_18,Reactome,Signaling by Moderate Kinase Activity BRAF Mutants,4/12,0.0021366164466071974,0.025360344214901732,10.382505333739713,63.83716421773965,VWF;ACTB;ITGA2B;TLN1
program_18,Reactome,Signaling by RAS Mutants,4/12,0.0021366164466071974,0.025360344214901732,10.382505333739713,63.83716421773965,VWF;ACTB;ITGA2B;TLN1
program_18,Reactome,Signaling by Rho GTPases,13/107,0.001981392446107346,0.025360344214901732,2.9493877551020407,18.356857921256513,ACTN1;TUBB1;DAAM1;ACTB;TPM4;TUBA1C;ARHGAP6;WASF3;PDE5A;CTTN;MYL9;MYL6;MYLK
program_18,Reactome,Defective F9 Activation,2/2,0.0024762381190595296,0.026481990995497747,96.47208121827411,578.9303831181006,GP1BA;GP9
program_18,Reactome,Defective Factor IX Causes Hemophilia B,2/2,0.0024762381190595296,0.026481990995497747,96.47208121827411,578.9303831181006,GP1BA;GP9
