resource,method,position,source,target,ligand_complex,receptor_complex,score
consensus,NATMI magnitude,28,Monocyte classical,Erythroid early,S100A9,CD36,8.104607
consensus,NATMI magnitude,29,T proliferating,Pre-B large,HMGB1,CXCR4,7.977805
consensus,NATMI magnitude,30,Pre-B large,CD4 T memory,HMGB1,CXCR4,7.968255
consensus,NATMI magnitude,31,Monocyte classical,Erythroid early,S100A8,CD36,7.9002023
consensus,NATMI magnitude,32,Monocyte classical,T proliferating,S100A9,ITGB2,7.897108
consensus,NATMI magnitude,33,Monocyte classical,Dendritic cell,S100A9,ITGB2,7.774256
consensus,NATMI magnitude,34,CD8 T cytotoxic,T proliferating,HLA-B,CD3D,7.750302
consensus,NATMI magnitude,35,Pre-B large,NK,B2M,KLRD1,7.745359
consensus,NATMI magnitude,36,Monocyte classical,T proliferating,S100A8,ITGB2,7.697937
consensus,NATMI magnitude,37,CD8 T cytotoxic,NK,HLA-B,KLRD1,7.659098
consensus,NATMI magnitude,38,Erythroid early,Pre-B small,HMGB1,CXCR4,7.6414094
consensus,NATMI magnitude,39,Erythroid early,B naive,HMGB1,CXCR4,7.634452
consensus,NATMI magnitude,40,Monocyte classical,Dendritic cell,S100A8,ITGB2,7.5781837
consensus,NATMI magnitude,41,CD8 T memory,T proliferating,HLA-B,CD3D,7.5574365
consensus,NATMI magnitude,42,Monocyte classical,T activated,S100A8,CD69,7.4898205
consensus,NATMI magnitude,43,NK,T proliferating,HLA-B,CD3D,7.480625
consensus,NATMI magnitude,44,CD8 T memory,NK,HLA-B,KLRD1,7.4685025
consensus,NATMI magnitude,45,Erythroid late,Pre-B small,HMGB1,CXCR4,7.422595
consensus,NATMI magnitude,46,Erythroid late,B naive,HMGB1,CXCR4,7.4158363
consensus,NATMI magnitude,47,NK,NK,HLA-B,KLRD1,7.392595
consensus,NATMI magnitude,48,HSPC,NK,B2M,KLRD1,7.3662376
consensus,NATMI magnitude,49,T activated,T proliferating,HLA-B,CD3D,7.3219743
consensus,NATMI magnitude,50,Granulocyte precursor,NK,B2M,KLRD1,7.2990055
consensus,NATMI magnitude,51,T activated,NK,HLA-B,KLRD1,7.235811
consensus,NATMI magnitude,52,Erythroid early,T activated,HMGB1,CXCR4,7.223107
consensus,NATMI magnitude,53,T proliferating,T proliferating,HLA-B,CD3D,7.155836
consensus,NATMI magnitude,54,HSPC,CD8 T memory,HMGB1,CXCR4,7.1488266
consensus,NATMI magnitude,55,T proliferating,Pre-B small,HMGB1,CXCR4,7.1282644
consensus,NATMI magnitude,56,T proliferating,B naive,HMGB1,CXCR4,7.121774
consensus,NATMI magnitude,57,Platelet,CD8 T memory,HMGB1,CXCR4,7.081961
consensus,NATMI magnitude,58,T proliferating,NK,HLA-B,KLRD1,7.0716276
consensus,NATMI magnitude,59,Erythroid late,T activated,HMGB1,CXCR4,7.0162706
consensus,NATMI magnitude,60,Erythroid early,T proliferating,HMGB1,CXCR4,6.985699
consensus,NATMI magnitude,61,CD8 T cytotoxic,CD8 T memory,HLA-B,CD3D,6.9267282
consensus,NATMI magnitude,62,HSPC,Pre-B large,HMGB1,CXCR4,6.9169593
consensus,NATMI magnitude,63,Platelet,Pre-B large,HMGB1,CXCR4,6.852263
consensus,NATMI magnitude,64,Monocyte classical,CD8 T memory,S100A8,CD69,6.8379836
consensus,NATMI magnitude,65,Erythroid late,T proliferating,HMGB1,CXCR4,6.785661
consensus,NATMI magnitude,66,CD8 T memory,CD8 T memory,HLA-B,CD3D,6.7543573
consensus,NATMI magnitude,67,T proliferating,T activated,HMGB1,CXCR4,6.7380524
consensus,NATMI magnitude,68,Monocyte non-classical,T proliferating,HLA-B,CD3D,6.711392
consensus,NATMI magnitude,69,Plasmacytoid DC,Dendritic cell,APP,CD74,6.6961546
consensus,NATMI magnitude,70,NK,CD8 T memory,HLA-B,CD3D,6.685708
consensus,NATMI magnitude,71,Plasmacytoid DC,B naive,APP,CD74,6.649056
consensus,NATMI magnitude,72,CD8 T cytotoxic,CD4 T memory,HLA-B,CD3D,6.6418986
consensus,NATMI magnitude,73,Monocyte non-classical,NK,HLA-B,KLRD1,6.632414
consensus,NATMI magnitude,74,CD4 T memory,T proliferating,HLA-B,CD3D,6.628639
