library,pathway,set_size,source,target,ligand_complex,receptor_complex,magnitude_rank,specificity_rank,significant
KEGG_2021_Human,Antigen processing and presentation,78,CD4 T memory,NK,B2M,KLRC1,0.0063904780149648,0.0054339797731973,True
KEGG_2021_Human,Antigen processing and presentation,78,NK,T proliferating,HLA-C,CD8A,0.0064767184219044,0.0251019977851735,True
KEGG_2021_Human,Cell adhesion molecules,148,NK,T proliferating,HLA-C,CD8A,0.0064767184219044,0.0251019977851735,True
KEGG_2021_Human,Antigen processing and presentation,78,T proliferating,NK,B2M,KLRC1,0.0065635259058625,0.005530400085697,True
KEGG_2021_Human,Antigen processing and presentation,78,CD8 T memory,T proliferating,HLA-A,CD8A,0.0066509002480034,0.0353281988342654,True
KEGG_2021_Human,Cell adhesion molecules,148,CD8 T memory,T proliferating,HLA-A,CD8A,0.0066509002480034,0.0353281988342654,True
KEGG_2021_Human,Antigen processing and presentation,78,NK,T proliferating,HLA-A,CD8A,0.00682734863149,0.0354202562984191,True
KEGG_2021_Human,Cell adhesion molecules,148,NK,T proliferating,HLA-A,CD8A,0.00682734863149,0.0354202562984191,True
KEGG_2021_Human,Antigen processing and presentation,78,Monocyte non-classical,NK,B2M,KLRC1,0.0075557736779347,0.008927554077696,True
KEGG_2021_Human,Antigen processing and presentation,78,NK,CD8 T memory,HLA-C,CD8A,0.0080936044928552,0.0380603765703093,True
KEGG_2021_Human,Cell adhesion molecules,148,NK,CD8 T memory,HLA-C,CD8A,0.0080936044928552,0.0380603765703093,True
KEGG_2021_Human,Antigen processing and presentation,78,Plasmacytoid DC,NK,B2M,KLRC1,0.0082877470222982,0.0143885264832758,True
KEGG_2021_Human,Antigen processing and presentation,78,CD8 T cytotoxic,T proliferating,HLA-A,CD8A,0.0084841406447165,0.0403203825006431,True
KEGG_2021_Human,Cell adhesion molecules,148,CD8 T cytotoxic,T proliferating,HLA-A,CD8A,0.0084841406447165,0.0403203825006431,True
KEGG_2021_Human,Antigen processing and presentation,78,Pre-B large,NK,HLA-B,KLRD1,0.0085831810687017,0.0494650325650177,True
KEGG_2021_Human,Graft-versus-host disease,42,Pre-B large,NK,HLA-B,KLRD1,0.0085831810687017,0.0494650325650177,True
KEGG_2021_Human,Natural killer cell mediated cytotoxicity,131,Pre-B large,NK,HLA-B,KLRD1,0.0085831810687017,0.0494650325650177,True
KEGG_2021_Human,Antigen processing and presentation,78,CD8 T cytotoxic,T proliferating,HLA-C,CD8A,0.0089511371916138,0.0297089205772923,True
KEGG_2021_Human,Cell adhesion molecules,148,CD8 T cytotoxic,T proliferating,HLA-C,CD8A,0.0089511371916138,0.0297089205772923,True
KEGG_2021_Human,Antigen processing and presentation,78,CD4 T naive,NK,B2M,KLRC1,0.0095695198378263,0.0324189989904747,True
KEGG_2021_Human,Antigen processing and presentation,78,NK,T proliferating,HLA-C,CD8B,0.0100644258105127,0.0392783314241316,True
KEGG_2021_Human,Cell adhesion molecules,148,NK,T proliferating,HLA-C,CD8B,0.0100644258105127,0.0392783314241316,True
KEGG_2021_Human,Antigen processing and presentation,78,Platelet,NK,B2M,KLRC1,0.0100644258105127,0.0269160297868817,True
KEGG_2021_Human,Chemokine signaling pathway,192,Platelet,T proliferating,PF4,CXCR3,0.0103164441085459,4.9742883413255394e-08,True
KEGG_2021_Human,Cytokine-cytokine receptor interaction,295,Platelet,T proliferating,PF4,CXCR3,0.0103164441085459,4.9742883413255394e-08,True
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,100,Platelet,T proliferating,PF4,CXCR3,0.0103164441085459,4.9742883413255394e-08,True
KEGG_2021_Human,Antigen processing and presentation,78,Monocyte classical,NK,B2M,KLRC1,0.0104253819369486,0.034779062269606,True
KEGG_2021_Human,Antigen processing and presentation,78,NK,CD8 T memory,HLA-C,CD8B,0.0106081876562264,0.0449316755402579,True
KEGG_2021_Human,Cell adhesion molecules,148,NK,CD8 T memory,HLA-C,CD8B,0.0106081876562264,0.0449316755402579,True
KEGG_2021_Human,Antigen processing and presentation,78,T activated,NK,B2M,KLRC1,0.0107186159074457,0.0420959524935067,True
KEGG_2021_Human,Antigen processing and presentation,78,CD8 T cytotoxic,CD8 T memory,HLA-C,CD8A,0.0115837350558656,0.0448780909534715,True
KEGG_2021_Human,Cell adhesion molecules,148,CD8 T cytotoxic,CD8 T memory,HLA-C,CD8A,0.0115837350558656,0.0448780909534715,True
KEGG_2021_Human,Antigen processing and presentation,78,CD8 T memory,T proliferating,HLA-C,CD8A,0.0116220905560777,0.0338312550140126,True
KEGG_2021_Human,Cell adhesion molecules,148,CD8 T memory,T proliferating,HLA-C,CD8A,0.0116220905560777,0.0338312550140126,True
KEGG_2021_Human,Intestinal immune network for IgA production,48,Monocyte classical,Dendritic cell,TNFSF13B,HLA-DPB1,0.0117375299896639,0.006251771172189,True
KEGG_2021_Human,Rheumatoid arthritis,93,Monocyte classical,Dendritic cell,TNFSF13B,HLA-DPB1,0.0117375299896639,0.006251771172189,True
KEGG_2021_Human,Antigen processing and presentation,78,CD8 T cytotoxic,T proliferating,HLA-C,CD8B,0.0144600352698284,0.0459031601761078,True
KEGG_2021_Human,Cell adhesion molecules,148,CD8 T cytotoxic,T proliferating,HLA-C,CD8B,0.0144600352698284,0.0459031601761078,True
KEGG_2021_Human,Antigen processing and presentation,78,T proliferating,T proliferating,HLA-C,CD8A,0.0151509158128834,0.0386419426810756,True
KEGG_2021_Human,Cell adhesion molecules,148,T proliferating,T proliferating,HLA-C,CD8A,0.0151509158128834,0.0386419426810756,True
KEGG_2021_Human,Intestinal immune network for IgA production,48,Granulocyte precursor,Dendritic cell,TNFSF13B,HLA-DPB1,0.0152821986313978,0.0115702757940873,True
KEGG_2021_Human,Rheumatoid arthritis,93,Granulocyte precursor,Dendritic cell,TNFSF13B,HLA-DPB1,0.0152821986313978,0.0115702757940873,True
KEGG_2021_Human,Gastric cancer,149,Erythroid early,Erythroid early,CDH1,LRP5,0.0218472264036843,0.0225849155732309,True
KEGG_2021_Human,Antigen processing and presentation,78,Dendritic cell,Plasmacytoid DC,HLA-DRA,CD4,0.022278395502245,0.0053657850782216,True
KEGG_2021_Human,Cell adhesion molecules,148,Dendritic cell,Plasmacytoid DC,HLA-DRA,CD4,0.022278395502245,0.0053657850782216,True
KEGG_2021_Human,Hematopoietic cell lineage,99,Dendritic cell,Plasmacytoid DC,HLA-DRA,CD4,0.022278395502245,0.0053657850782216,True
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,219,Dendritic cell,Plasmacytoid DC,HLA-DRA,CD4,0.022278395502245,0.0053657850782216,True
KEGG_2021_Human,Th1 and Th2 cell differentiation,92,Dendritic cell,Plasmacytoid DC,HLA-DRA,CD4,0.022278395502245,0.0053657850782216,True
KEGG_2021_Human,Th17 cell differentiation,107,Dendritic cell,Plasmacytoid DC,HLA-DRA,CD4,0.022278395502245,0.0053657850782216,True
KEGG_2021_Human,Antigen processing and presentation,78,CD4 T memory,T proliferating,HLA-C,CD8A,0.0235044461676488,0.0494080752169116,True
KEGG_2021_Human,Cell adhesion molecules,148,CD4 T memory,T proliferating,HLA-C,CD8A,0.0235044461676488,0.0494080752169116,True
KEGG_2021_Human,Chemokine signaling pathway,192,CD8 T cytotoxic,T proliferating,CCL5,CXCR3,0.0240473631135866,0.0002383503037547,True
KEGG_2021_Human,Cytokine-cytokine receptor interaction,295,CD8 T cytotoxic,T proliferating,CCL5,CXCR3,0.0240473631135866,0.0002383503037547,True
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,100,CD8 T cytotoxic,T proliferating,CCL5,CXCR3,0.0240473631135866,0.0002383503037547,True
KEGG_2021_Human,Intestinal immune network for IgA production,48,Dendritic cell,Dendritic cell,TNFSF13B,HLA-DPB1,0.0258247209441293,0.0230522602520042,True
KEGG_2021_Human,Rheumatoid arthritis,93,Dendritic cell,Dendritic cell,TNFSF13B,HLA-DPB1,0.0258247209441293,0.0230522602520042,True
KEGG_2021_Human,Chemokine signaling pathway,192,CD8 T memory,T proliferating,CCL5,CXCR3,0.0258812433052549,0.0002788431309059,True
KEGG_2021_Human,Cytokine-cytokine receptor interaction,295,CD8 T memory,T proliferating,CCL5,CXCR3,0.0258812433052549,0.0002788431309059,True
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,100,CD8 T memory,T proliferating,CCL5,CXCR3,0.0258812433052549,0.0002788431309059,True
KEGG_2021_Human,Antigen processing and presentation,78,B naive,Plasmacytoid DC,HLA-DRA,CD4,0.0332835607160732,0.0090225352264666,True
KEGG_2021_Human,Cell adhesion molecules,148,B naive,Plasmacytoid DC,HLA-DRA,CD4,0.0332835607160732,0.0090225352264666,True
KEGG_2021_Human,Hematopoietic cell lineage,99,B naive,Plasmacytoid DC,HLA-DRA,CD4,0.0332835607160732,0.0090225352264666,True
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,219,B naive,Plasmacytoid DC,HLA-DRA,CD4,0.0332835607160732,0.0090225352264666,True
KEGG_2021_Human,Th1 and Th2 cell differentiation,92,B naive,Plasmacytoid DC,HLA-DRA,CD4,0.0332835607160732,0.0090225352264666,True
KEGG_2021_Human,Th17 cell differentiation,107,B naive,Plasmacytoid DC,HLA-DRA,CD4,0.0332835607160732,0.0090225352264666,True
KEGG_2021_Human,Antigen processing and presentation,78,Pre-B small,Plasmacytoid DC,HLA-DRA,CD4,0.0364791402009992,0.0101727026555545,True
KEGG_2021_Human,Cell adhesion molecules,148,Pre-B small,Plasmacytoid DC,HLA-DRA,CD4,0.0364791402009992,0.0101727026555545,True
KEGG_2021_Human,Hematopoietic cell lineage,99,Pre-B small,Plasmacytoid DC,HLA-DRA,CD4,0.0364791402009992,0.0101727026555545,True
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,219,Pre-B small,Plasmacytoid DC,HLA-DRA,CD4,0.0364791402009992,0.0101727026555545,True
KEGG_2021_Human,Th1 and Th2 cell differentiation,92,Pre-B small,Plasmacytoid DC,HLA-DRA,CD4,0.0364791402009992,0.0101727026555545,True
KEGG_2021_Human,Th17 cell differentiation,107,Pre-B small,Plasmacytoid DC,HLA-DRA,CD4,0.0364791402009992,0.0101727026555545,True
KEGG_2021_Human,Chemokine signaling pathway,192,T proliferating,T proliferating,CCL5,CXCR3,0.0374177551275864,0.000741888229353,True
KEGG_2021_Human,Cytokine-cytokine receptor interaction,295,T proliferating,T proliferating,CCL5,CXCR3,0.0374177551275864,0.000741888229353,True
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,100,T proliferating,T proliferating,CCL5,CXCR3,0.0374177551275864,0.000741888229353,True
KEGG_2021_Human,Chemokine signaling pathway,192,Platelet,Plasmacytoid DC,PF4,CXCR3,0.0409326932461768,3.552244287911985e-07,True
KEGG_2021_Human,Cytokine-cytokine receptor interaction,295,Platelet,Plasmacytoid DC,PF4,CXCR3,0.0409326932461768,3.552244287911985e-07,True
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,100,Platelet,Plasmacytoid DC,PF4,CXCR3,0.0409326932461768,3.552244287911985e-07,True
KEGG_2021_Human,Intestinal immune network for IgA production,48,Monocyte non-classical,Dendritic cell,TNFSF13B,HLA-DPB1,0.0440123396764688,0.0430281426987251,True
KEGG_2021_Human,Rheumatoid arthritis,93,Monocyte non-classical,Dendritic cell,TNFSF13B,HLA-DPB1,0.0440123396764688,0.0430281426987251,True
KEGG_2021_Human,Antigen processing and presentation,78,Dendritic cell,Plasmacytoid DC,HLA-DRB1,CD4,0.0443041991041719,0.0025765593185913,True
KEGG_2021_Human,Cell adhesion molecules,148,Dendritic cell,Plasmacytoid DC,HLA-DRB1,CD4,0.0443041991041719,0.0025765593185913,True
KEGG_2021_Human,Hematopoietic cell lineage,99,Dendritic cell,Plasmacytoid DC,HLA-DRB1,CD4,0.0443041991041719,0.0025765593185913,True
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,219,Dendritic cell,Plasmacytoid DC,HLA-DRB1,CD4,0.0443041991041719,0.0025765593185913,True
KEGG_2021_Human,Th1 and Th2 cell differentiation,92,Dendritic cell,Plasmacytoid DC,HLA-DRB1,CD4,0.0443041991041719,0.0025765593185913,True
KEGG_2021_Human,Th17 cell differentiation,107,Dendritic cell,Plasmacytoid DC,HLA-DRB1,CD4,0.0443041991041719,0.0025765593185913,True
KEGG_2021_Human,Antigen processing and presentation,78,Dendritic cell,Plasmacytoid DC,HLA-DPB1,CD4,0.0474991554070792,0.0035094148484033,True
KEGG_2021_Human,Cell adhesion molecules,148,Dendritic cell,Plasmacytoid DC,HLA-DPB1,CD4,0.0474991554070792,0.0035094148484033,True
KEGG_2021_Human,Hematopoietic cell lineage,99,Dendritic cell,Plasmacytoid DC,HLA-DPB1,CD4,0.0474991554070792,0.0035094148484033,True
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,219,Dendritic cell,Plasmacytoid DC,HLA-DPB1,CD4,0.0474991554070792,0.0035094148484033,True
KEGG_2021_Human,Th1 and Th2 cell differentiation,92,Dendritic cell,Plasmacytoid DC,HLA-DPB1,CD4,0.0474991554070792,0.0035094148484033,True
KEGG_2021_Human,Th17 cell differentiation,107,Dendritic cell,Plasmacytoid DC,HLA-DPB1,CD4,0.0474991554070792,0.0035094148484033,True
KEGG_2021_Human,Antigen processing and presentation,78,NK,NK,B2M,KLRC2,0.0484652004351993,0.0131110806046561,True
KEGG_2021_Human,Antigen processing and presentation,78,Dendritic cell,Monocyte non-classical,HLA-DRA,CD4,0.0485620201922117,0.0164092491208898,True
KEGG_2021_Human,Cell adhesion molecules,148,Dendritic cell,Monocyte non-classical,HLA-DRA,CD4,0.0485620201922117,0.0164092491208898,True
KEGG_2021_Human,Hematopoietic cell lineage,99,Dendritic cell,Monocyte non-classical,HLA-DRA,CD4,0.0485620201922117,0.0164092491208898,True
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,219,Dendritic cell,Monocyte non-classical,HLA-DRA,CD4,0.0485620201922117,0.0164092491208898,True
KEGG_2021_Human,Th1 and Th2 cell differentiation,92,Dendritic cell,Monocyte non-classical,HLA-DRA,CD4,0.0485620201922117,0.0164092491208898,True
KEGG_2021_Human,Th17 cell differentiation,107,Dendritic cell,Monocyte non-classical,HLA-DRA,CD4,0.0485620201922117,0.0164092491208898,True
Reactome_Pathways_2024,DAP12 Interactions,45,NK,NK,B2M,KLRD1,3.3306343865505135e-08,0.0114237864142464,True
Reactome_Pathways_2024,DAP12 Signaling,29,NK,NK,B2M,KLRD1,3.3306343865505135e-08,0.0114237864142464,True
Reactome_Pathways_2024,Immunoregulatory Interactions Between a Lymphoid and a non-Lymphoid Cell,223,NK,NK,B2M,KLRD1,3.3306343865505135e-08,0.0114237864142464,True
Reactome_Pathways_2024,DAP12 Interactions,45,CD8 T cytotoxic,NK,B2M,KLRD1,2.997327557473985e-07,0.0128695647201432,True
Reactome_Pathways_2024,DAP12 Signaling,29,CD8 T cytotoxic,NK,B2M,KLRD1,2.997327557473985e-07,0.0128695647201432,True
Reactome_Pathways_2024,Immunoregulatory Interactions Between a Lymphoid and a non-Lymphoid Cell,223,CD8 T cytotoxic,NK,B2M,KLRD1,2.997327557473985e-07,0.0128695647201432,True
Reactome_Pathways_2024,DAP12 Interactions,45,CD8 T memory,NK,B2M,KLRD1,5.328366614628256e-07,0.0138280327021835,True
Reactome_Pathways_2024,DAP12 Signaling,29,CD8 T memory,NK,B2M,KLRD1,5.328366614628256e-07,0.0138280327021835,True
Reactome_Pathways_2024,Immunoregulatory Interactions Between a Lymphoid and a non-Lymphoid Cell,223,CD8 T memory,NK,B2M,KLRD1,5.328366614628256e-07,0.0138280327021835,True
Reactome_Pathways_2024,DAP12 Interactions,45,CD4 T memory,NK,B2M,KLRD1,1.1987851321402158e-06,0.0170061161268332,True
Reactome_Pathways_2024,DAP12 Signaling,29,CD4 T memory,NK,B2M,KLRD1,1.1987851321402158e-06,0.0170061161268332,True
Reactome_Pathways_2024,Immunoregulatory Interactions Between a Lymphoid and a non-Lymphoid Cell,223,CD4 T memory,NK,B2M,KLRD1,1.1987851321402158e-06,0.0170061161268332,True
Reactome_Pathways_2024,DAP12 Interactions,45,T proliferating,NK,B2M,KLRD1,1.6316136463023807e-06,0.0172951970237182,True
Reactome_Pathways_2024,DAP12 Signaling,29,T proliferating,NK,B2M,KLRD1,1.6316136463023807e-06,0.0172951970237182,True
Reactome_Pathways_2024,Immunoregulatory Interactions Between a Lymphoid and a non-Lymphoid Cell,223,T proliferating,NK,B2M,KLRD1,1.6316136463023807e-06,0.0172951970237182,True
Reactome_Pathways_2024,DAP12 Interactions,45,Monocyte non-classical,NK,B2M,KLRD1,2.131000830463268e-06,0.0206213448157231,True
Reactome_Pathways_2024,DAP12 Signaling,29,Monocyte non-classical,NK,B2M,KLRD1,2.131000830463268e-06,0.0206213448157231,True
Reactome_Pathways_2024,Immunoregulatory Interactions Between a Lymphoid and a non-Lymphoid Cell,223,Monocyte non-classical,NK,B2M,KLRD1,2.131000830463268e-06,0.0206213448157231,True
Reactome_Pathways_2024,DAP12 Interactions,45,Plasmacytoid DC,NK,B2M,KLRD1,5.626032710486872e-06,0.0230872569742428,True
Reactome_Pathways_2024,DAP12 Signaling,29,Plasmacytoid DC,NK,B2M,KLRD1,5.626032710486872e-06,0.0230872569742428,True
Reactome_Pathways_2024,Immunoregulatory Interactions Between a Lymphoid and a non-Lymphoid Cell,223,Plasmacytoid DC,NK,B2M,KLRD1,5.626032710486872e-06,0.0230872569742428,True
Reactome_Pathways_2024,DAP12 Interactions,45,CD4 T naive,NK,B2M,KLRD1,1.201481221708865e-05,0.0262262377440225,True
Reactome_Pathways_2024,DAP12 Signaling,29,CD4 T naive,NK,B2M,KLRD1,1.201481221708865e-05,0.0262262377440225,True
Reactome_Pathways_2024,Immunoregulatory Interactions Between a Lymphoid and a non-Lymphoid Cell,223,CD4 T naive,NK,B2M,KLRD1,1.201481221708865e-05,0.0262262377440225,True
Reactome_Pathways_2024,Neutrophil Degranulation,478,Monocyte classical,NK,S100A9,ITGB2,1.467618205419323e-05,0.0010410223132672,True
Reactome_Pathways_2024,Toll Like Receptor 4 (TLR4) Cascade,148,Monocyte classical,NK,S100A9,ITGB2,1.467618205419323e-05,0.0010410223132672,True
Reactome_Pathways_2024,Toll-like Receptor Cascades,174,Monocyte classical,NK,S100A9,ITGB2,1.467618205419323e-05,0.0010410223132672,True
Reactome_Pathways_2024,DAP12 Interactions,45,Platelet,NK,B2M,KLRD1,1.6106540129232367e-05,0.0278537075273307,True
Reactome_Pathways_2024,DAP12 Signaling,29,Platelet,NK,B2M,KLRD1,1.6106540129232367e-05,0.0278537075273307,True
Reactome_Pathways_2024,Immunoregulatory Interactions Between a Lymphoid and a non-Lymphoid Cell,223,Platelet,NK,B2M,KLRD1,1.6106540129232367e-05,0.0278537075273307,True
