resource,library,pathway,set_size,n_tested,n_significant,significant_share,fold_enrichment,n_lr_pairs,n_senders,n_receivers,ligands
consensus,KEGG_2021_Human,Gastric cancer,149,1,1,1.0,84.2974358974359,1,1,1,CDH1
consensus,Reactome_Pathways_2024,DAP12 Interactions,45,225,30,0.13333333333333333,11.23965811965812,3,15,1,B2M;HLA-B
consensus,Reactome_Pathways_2024,Antigen processing-Cross Presentation,96,158,18,0.11392405063291139,9.60350535540409,2,2,6,S100A8;S100A9
consensus,Reactome_Pathways_2024,Class I MHC Mediated Antigen Processing & Presentation,373,158,18,0.11392405063291139,9.60350535540409,2,2,6,S100A8;S100A9
consensus,Reactome_Pathways_2024,ER-Phagosome Pathway,80,158,18,0.11392405063291139,9.60350535540409,2,2,6,S100A8;S100A9
consensus,Reactome_Pathways_2024,MyD88 Deficiency (TLR2 4),19,158,18,0.11392405063291139,9.60350535540409,2,2,6,S100A8;S100A9
consensus,Reactome_Pathways_2024,Regulation of TLR by Endogenous Ligand,22,158,18,0.11392405063291139,9.60350535540409,2,2,6,S100A8;S100A9
consensus,Reactome_Pathways_2024,Diseases Associated With the TLR Signaling Cascade,35,162,18,0.1111111111111111,9.366381766381766,2,2,6,S100A8;S100A9
consensus,Reactome_Pathways_2024,Diseases of Immune System,35,162,18,0.1111111111111111,9.366381766381766,2,2,6,S100A8;S100A9
consensus,Reactome_Pathways_2024,IRAK4 Deficiency (TLR2 4),20,162,18,0.1111111111111111,9.366381766381766,2,2,6,S100A8;S100A9
consensus,Reactome_Pathways_2024,DAP12 Signaling,29,149,16,0.10738255033557047,9.052073653415937,2,15,1,B2M
consensus,Reactome_Pathways_2024,MyD88 MAL(TIRAP) Cascade Initiated on Plasma Membrane,115,198,20,0.10101010101010101,8.514892514892516,3,2,6,S100A12;S100A8;S100A9
consensus,Reactome_Pathways_2024,Toll Like Receptor 2 (TLR2) Cascade,118,198,20,0.10101010101010101,8.514892514892516,3,2,6,S100A12;S100A8;S100A9
consensus,Reactome_Pathways_2024,Toll Like Receptor TLR1 TLR2 Cascade,118,198,20,0.10101010101010101,8.514892514892516,3,2,6,S100A12;S100A8;S100A9
consensus,Reactome_Pathways_2024,Toll Like Receptor TLR6 TLR2 Cascade,115,198,20,0.10101010101010101,8.514892514892516,3,2,6,S100A12;S100A8;S100A9
consensus,Reactome_Pathways_2024,Toll Like Receptor 4 (TLR4) Cascade,148,497,44,0.08853118712273642,7.462952071402776,5,2,11,S100A12;S100A8;S100A9
consensus,Reactome_Pathways_2024,Toll-like Receptor Cascades,174,497,44,0.08853118712273642,7.462952071402776,5,2,11,S100A12;S100A8;S100A9
consensus,KEGG_2021_Human,Graft-versus-host disease,42,200,14,0.07,5.900820512820514,1,14,1,HLA-B
consensus,Reactome_Pathways_2024,Chemokine Receptors Bind Chemokines,57,77,5,0.06493506493506493,5.4738594738594735,2,4,2,CCL5;PF4
consensus,KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,100,89,5,0.056179775280898875,4.735811005473927,2,4,2,CCL5;PF4
consensus,KEGG_2021_Human,Natural killer cell mediated cytotoxicity,131,268,14,0.05223880597014925,4.403597397627249,1,14,1,HLA-B
consensus,Reactome_Pathways_2024,Peptide Ligand-Binding Receptors,198,130,5,0.038461538461538464,3.242209072978304,2,4,2,CCL5;PF4
consensus,Reactome_Pathways_2024,Neutrophil Degranulation,478,1970,73,0.03705583756345178,3.123712091630874,9,9,11,HLA-B;HLA-C;S100A12;S100A8;S100A9
consensus,KEGG_2021_Human,Antigen processing and presentation,78,1790,64,0.035754189944134075,3.01398653488039,11,15,5,B2M;HLA-A;HLA-B;HLA-C;HLA-DPB1;HLA-DRA;HLA-DRB1
consensus,KEGG_2021_Human,Chemokine signaling pathway,192,154,5,0.032467532467532464,2.7369297369297367,2,4,2,CCL5;PF4
consensus,Reactome_Pathways_2024,Immunoregulatory Interactions Between a Lymphoid and a non-Lymphoid Cell,223,2484,79,0.03180354267310789,2.6809570997976797,11,15,5,B2M;HLA-A;HLA-B;HLA-C
consensus,Reactome_Pathways_2024,Class A 1 (Rhodopsin-like Receptors),333,178,5,0.028089887640449437,2.3679055027369635,2,4,2,CCL5;PF4
consensus,KEGG_2021_Human,Rheumatoid arthritis,93,143,4,0.027972027972027972,2.357970234893312,1,4,1,TNFSF13B
consensus,Reactome_Pathways_2024,Downstream TCR Signaling,91,516,6,0.011627906976744186,0.9802027429934407,3,3,2,HLA-DPB1;HLA-DRA;HLA-DRB1
consensus,Reactome_Pathways_2024,Generation of Second Messenger Molecules,41,516,6,0.011627906976744186,0.9802027429934407,3,3,2,HLA-DPB1;HLA-DRA;HLA-DRB1
consensus,Reactome_Pathways_2024,PD-1 Signaling,30,516,6,0.011627906976744186,0.9802027429934407,3,3,2,HLA-DPB1;HLA-DRA;HLA-DRB1
consensus,Reactome_Pathways_2024,Phosphorylation of CD3 and TCR Zeta Chains,29,516,6,0.011627906976744186,0.9802027429934407,3,3,2,HLA-DPB1;HLA-DRA;HLA-DRB1
consensus,Reactome_Pathways_2024,TCR Signaling,113,516,6,0.011627906976744186,0.9802027429934407,3,3,2,HLA-DPB1;HLA-DRA;HLA-DRB1
consensus,Reactome_Pathways_2024,Translocation of ZAP-70 to Immunological Synapse,26,516,6,0.011627906976744186,0.9802027429934407,3,3,2,HLA-DPB1;HLA-DRA;HLA-DRB1
consensus,Reactome_Pathways_2024,Costimulation by the CD28 Family,78,537,6,0.0111731843575419,0.9418707921501218,3,3,2,HLA-DPB1;HLA-DRA;HLA-DRB1
consensus,Reactome_Pathways_2024,GPCR Ligand Binding,467,449,5,0.011135857461024499,0.938724230483696,2,4,2,CCL5;PF4
consensus,KEGG_2021_Human,Intestinal immune network for IgA production,48,389,4,0.010282776349614395,0.8668116801792894,1,4,1,TNFSF13B
consensus,Reactome_Pathways_2024,G Alpha (I) Signalling Events,316,500,5,0.01,0.842974358974359,2,4,2,CCL5;PF4
consensus,KEGG_2021_Human,Cell adhesion molecules,148,2310,23,0.009956709956709957,0.8393251193251194,7,8,4,HLA-A;HLA-B;HLA-C;HLA-DPB1;HLA-DRA;HLA-DRB1
consensus,KEGG_2021_Human,Th1 and Th2 cell differentiation,92,660,6,0.00909090909090909,0.7663403263403263,3,3,2,HLA-DPB1;HLA-DRA;HLA-DRB1
consensus,KEGG_2021_Human,Th17 cell differentiation,107,660,6,0.00909090909090909,0.7663403263403263,3,3,2,HLA-DPB1;HLA-DRA;HLA-DRB1
consensus,KEGG_2021_Human,Cytokine-cytokine receptor interaction,295,582,5,0.00859106529209622,0.7242047757511676,2,4,2,CCL5;PF4
consensus,KEGG_2021_Human,Hematopoietic cell lineage,99,776,6,0.007731958762886598,0.6517842981760509,3,3,2,HLA-DPB1;HLA-DRA;HLA-DRB1
consensus,KEGG_2021_Human,Human T-cell leukemia virus 1 infection,219,836,6,0.007177033492822967,0.6050055207949946,3,3,2,HLA-DPB1;HLA-DRA;HLA-DRB1
consensus,Reactome_Pathways_2024,Signaling by Interleukins,452,691,2,0.002894356005788712,0.24398678986233255,1,1,2,S100A12
consensus,KEGG_2021_Human,Epstein-Barr virus infection,202,464,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Human immunodeficiency virus 1 infection,212,243,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,ECM-receptor interaction,88,114,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,JAK-STAT signaling pathway,162,21,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,PI3K-Akt signaling pathway,354,90,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Cholesterol metabolism,50,71,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Lipid and atherosclerosis,215,121,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,MicroRNAs in cancer,310,324,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Human papillomavirus infection,331,141,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Notch signaling pathway,59,75,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Axon guidance,182,21,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Proteoglycans in cancer,205,357,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Alzheimer disease,369,281,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Apoptosis,142,55,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Chagas disease,102,28,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Hepatitis B,162,12,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Hepatitis C,157,45,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Herpes simplex virus 1 infection,498,51,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Human cytomegalovirus infection,225,274,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Influenza A,172,50,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,193,60,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Measles,139,26,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Necroptosis,159,80,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Pathogenic Escherichia coli infection,197,59,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Pathways of neurodegeneration,475,76,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,TNF signaling pathway,112,49,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Coronavirus disease,232,59,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Salmonella infection,249,57,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,IL-17 signaling pathway,94,27,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,NOD-like receptor signaling pathway,181,13,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,RIG-I-like receptor signaling pathway,70,27,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,NF-kappa B signaling pathway,104,131,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Leukocyte transendothelial migration,114,55,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,African trypanosomiasis,37,4,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Allograft rejection,38,17,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,MAPK signaling pathway,294,43,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Non-alcoholic fatty liver disease,155,17,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Type I diabetes mellitus,43,16,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Adipocytokine signaling pathway,69,25,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Amyotrophic lateral sclerosis,364,19,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Fluid shear stress and atherosclerosis,139,6,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Insulin resistance,108,5,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Osteoclast differentiation,127,29,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Shigellosis,246,90,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Sphingolipid signaling pathway,119,206,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Toxoplasmosis,112,294,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Tuberculosis,180,97,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,mTOR signaling pathway,154,13,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Phagosome,152,152,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Focal adhesion,201,77,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Rap1 signaling pathway,210,442,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Neutrophil extracellular trap formation,189,173,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Staphylococcus aureus infection,95,169,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Adherens junction,71,1,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Melanoma,72,1,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Endocytosis,252,321,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Toll-like receptor signaling pathway,104,16,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Malaria,50,42,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Neuroactive ligand-receptor interaction,341,35,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,cAMP signaling pathway,216,208,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Yersinia infection,137,39,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Long-term depression,60,12,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Progesterone-mediated oocyte maturation,100,60,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Leishmaniasis,77,234,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Pertussis,76,132,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Regulation of actin cytoskeleton,218,7,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Platelet activation,124,210,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,FoxO signaling pathway,131,8,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Insulin signaling pathway,137,160,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Longevity regulating pathway,102,8,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Phospholipase D signaling pathway,148,179,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Ras signaling pathway,232,191,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Autoimmune thyroid disease,53,18,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Regulation of lipolysis in adipocytes,55,144,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Amoebiasis,102,64,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Legionellosis,57,68,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Primary immunodeficiency,38,33,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,T cell receptor signaling pathway,104,35,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Arachidonic acid metabolism,61,2,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Ovarian steroidogenesis,51,78,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Serotonergic synapse,113,2,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Fc gamma R-mediated phagocytosis,97,19,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,HIF-1 signaling pathway,109,6,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Inflammatory bowel disease,65,6,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,PD-L1 expression and PD-1 checkpoint pathway in cancer,89,6,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,PPAR signaling pathway,74,40,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Viral myocarditis,60,30,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Adrenergic signaling in cardiomyocytes,150,143,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Apelin signaling pathway,137,48,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Chemical carcinogenesis,239,143,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Cholinergic synapse,113,48,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Circadian entrainment,97,124,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Cushing syndrome,155,124,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Estrogen signaling pathway,137,124,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,GABAergic synapse,89,48,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Gap junction,88,124,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Gastric acid secretion,76,124,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Glutamatergic synapse,114,124,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,"Growth hormone synthesis, secretion and action",119,124,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Melanogenesis,101,124,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Morphine addiction,91,124,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Oxytocin signaling pathway,154,124,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,"Parathyroid hormone synthesis, secretion and action",106,124,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Relaxin signaling pathway,129,124,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Retrograde endocannabinoid signaling,148,48,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,cGMP-PKG signaling pathway,167,200,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Salivary secretion,93,133,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Renin secretion,69,57,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Dilated cardiomyopathy,96,328,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Hypertrophic cardiomyopathy,90,252,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Aldosterone synthesis and secretion,98,76,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Bile secretion,90,76,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Calcium signaling pathway,240,96,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Cortisol synthesis and secretion,65,76,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,GnRH signaling pathway,93,76,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Inflammatory mediator regulation of TRP channels,98,76,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Insulin secretion,86,76,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Pancreatic secretion,102,76,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Thermogenesis,232,76,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Thyroid hormone synthesis,75,76,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Vascular smooth muscle contraction,133,78,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Complement and coagulation cascades,85,2,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Systemic lupus erythematosus,135,13,0,0.0,0.0,0,0,0,
consensus,KEGG_2021_Human,Asthma,31,1,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Anchoring of the Basal Body to the Plasma Membrane,97,1,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Cilium Assembly,200,1,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Organelle Biogenesis and Maintenance,297,17,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,ECM Proteoglycans,76,318,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,EGR2 and SOX10-mediated Initiation of Schwann Cell Myelination,29,1,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Extracellular Matrix Organization,300,1337,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Non-integrin membrane-ECM Interactions,59,257,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Interleukin-7 Signaling,25,7,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Metabolism of Fat-Soluble Vitamins,48,8,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Metabolism of Vitamins and Cofactors,198,8,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,"Plasma Lipoprotein Assembly, Remodeling, and Clearance",75,8,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Plasma Lipoprotein Clearance,37,8,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Retinoid Metabolism and Transport,44,8,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Visual Phototransduction,99,8,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,NOTCH2 Activation and Transmission of Signal to the Nucleus,25,68,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Signaling by NOTCH,209,119,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Signaling by NOTCH2,36,68,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Signaling by NOTCH4,72,63,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Degradation of the Extracellular Matrix,140,300,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,EPH-Ephrin Signaling,92,15,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,EPH-ephrin Mediated Repulsion of Cells,51,15,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,EPHB-mediated Forward Signaling,42,3,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Ephrin Signaling,19,3,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,HIV Infection,227,108,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Host Interactions of HIV Factors,126,108,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Nef-mediates Down Modulation of Cell Surface Receptors by Recruiting Them to Clathrin Adapters,22,108,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,The Role of Nef in HIV-1 Replication and Disease Pathogenesis,29,108,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Other Interleukin Signaling,24,97,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Apoptosis,168,65,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,CASP8 Activity Is Inhibited,11,34,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Caspase Activation via Death Receptors in the Presence of Ligand,18,46,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Caspase Activation via Extrinsic Apoptotic Signalling Pathway,28,46,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Death Receptor Signaling,157,67,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Dimerization of Procaspase-8,11,34,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,FasL CD95L Signaling,5,6,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Programmed Cell Death,202,65,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,RIPK1-mediated Regulated Necrosis,34,34,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Regulated Necrosis,61,34,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Regulation by c-FLIP,11,34,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Regulation of Necroptotic Cell Death,32,34,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,DDX58 IFIH1-mediated Induction of Interferon-Alpha Beta,86,6,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Defective RIPK1-mediated Regulated Necrosis,12,18,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Diseases of Programmed Cell Death,78,18,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,MyD88-independent TLR4 Cascade,110,41,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Regulation of TNFR1 Signaling,50,32,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,TNF Signaling,59,32,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,TNFR1-induced Proapoptotic Signaling,26,32,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,TRIF (TICAM1)-mediated TLR4 Signaling,110,41,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Toll Like Receptor 3 (TLR3) Cascade,106,6,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,TNF Receptor Superfamily (TNFSF) Members Mediating Non-Canonical NF-kB Pathway,17,31,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,TNFR2 Non-Canonical NF-kB Pathway,88,136,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Class B 2 (Secretin Family Receptors),94,212,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Activated NOTCH1 Transmits Signal to the Nucleus,31,12,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,"Cell Death Signalling via NRAGE, NRIF and NADE",76,12,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,58,12,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Constitutive Signaling by NOTCH1 PEST Domain Mutants,58,12,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers,451,64,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,NOTCH3 Activation and Transmission of Signal to the Nucleus,25,12,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,NOTCH4 Activation and Transmission of Signal to the Nucleus,11,15,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,NRIF Signals Cell Death From the Nucleus,16,12,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Noncanonical Activation of NOTCH3,8,12,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Nuclear Signaling by ERBB4,32,12,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,P75 NTR Receptor-Mediated Signalling,98,12,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Regulated Proteolysis of p75NTR,11,12,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Signaling by ERBB4,58,12,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Signaling by NOTCH1,74,12,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,58,12,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Signaling by NOTCH1 PEST Domain Mutants in Cancer,58,12,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Signaling by NOTCH1 in Cancer,58,12,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Signaling by NOTCH3,49,12,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Signaling by TGFB Family Members,161,375,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Signaling by TGFBR3,49,54,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,TGFBR3 PTM Regulation,11,12,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Proton-coupled Monocarboxylate Transport,6,108,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,SLC-mediated Transmembrane Transport,249,108,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,"Transport of Bile Salts and Organic Acids, Metal Ions and Amine Compounds",84,108,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Cell Surface Interactions at the Vascular Wall,233,1532,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,Integrin Cell Surface Interactions,85,358,0,0.0,0.0,0,0,0,
consensus,Reactome_Pathways_2024,MAPK Family Signaling Cascades,314,312,0,0.0,0.0,0,0,0,
