cell_type,library,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
Granulocyte precursor,GO_BP,Synaptic Vesicle Recycling (GO:0036465),2/39,0.05627823398888317,0.18710519911379397,6.747774979009236,19.41636774623723,AP2S1;CANX
Granulocyte precursor,GO_BP,Synaptic Vesicle Transport Along Microtubule (GO:0099517),1/15,0.1378808833141102,0.2594243182146995,10.430127041742287,20.665890031952838,BLOC1S1
Granulocyte precursor,GO_BP,T Cell Activation (GO:0042110),1/91,0.5941444225492623,0.6225806313152168,1.6648111992688905,0.8667554053262356,LCP1
Granulocyte precursor,GO_BP,T Cell Activation Involved In Immune Response (GO:0002286),2/10,0.004114843333924193,0.038398474055193456,29.812564824418434,163.76502514435757,FCER1G;LCP1
Granulocyte precursor,GO_BP,T Cell Differentiation (GO:0030217),3/44,0.009239244942202515,0.06716323825514173,8.577855726704286,40.181207659584985,FCER1G;SPI1;ANXA1
Granulocyte precursor,GO_BP,T-helper 1 Type Immune Response (GO:0042088),1/8,0.07606412942972562,0.20582896446807777,20.171929824561403,51.966491639494244,HMGB1
Granulocyte precursor,GO_BP,T-helper Cell Differentiation (GO:0042093),1/16,0.14636923182674635,0.26176180691788176,9.756730536017463,18.748756482343055,HMGB1
Granulocyte precursor,GO_BP,TOR Signaling (GO:0031929),3/25,0.0018394229487574687,0.024163328735950385,15.836343178621659,99.74209363183763,LAMTOR4;EIF4EBP1;LAMTOR2
Granulocyte precursor,GO_BP,TORC1 Signaling (GO:0038202),2/10,0.004114843333924193,0.038398474055193456,29.812564824418434,163.76502514435757,LAMTOR4;LAMTOR2
Granulocyte precursor,GO_BP,TRAIL-activated Apoptotic Signaling Pathway (GO:0036462),1/6,0.05760571121225541,0.18710519911379397,27.50991114149009,78.51696070971622,SPI1
Granulocyte precursor,GO_BP,Telomere Maintenance (GO:0000723),1/65,0.47465371127771644,0.5211813167145138,2.3389287171416915,1.7428989735142661,RPA3
Granulocyte precursor,GO_BP,Telomere Organization (GO:0032200),1/58,0.43688799442753395,0.48900321607109726,2.624583197123243,2.17336071332158,RPA3
Granulocyte precursor,GO_BP,Tetrahydrofolate Interconversion (GO:0035999),1/8,0.07606412942972562,0.20582896446807777,20.171929824561403,51.966491639494244,TYMS
Granulocyte precursor,GO_BP,Tetrahydrofolate Metabolic Process (GO:0046653),1/11,0.10307937838639729,0.23309812483308934,14.406373075546007,32.73496655872962,TYMS
Granulocyte precursor,GO_BP,Transcription By RNA Polymerase I (GO:0006360),1/12,0.11190864079338264,0.23956738658731544,13.15299117358614,28.806003574890045,POLR2L
Granulocyte precursor,GO_BP,Transcription By RNA Polymerase II (GO:0006366),5/182,0.034252310622908,0.1609766720998841,3.162227585461619,10.669359835956675,ANXA2;DEK;ELOB;SUB1;POLR2L
Granulocyte precursor,GO_BP,Transcription By RNA Polymerase III (GO:0006383),1/27,0.23442691024467457,0.33048476614980954,5.703645907220882,8.273773906165323,POLR2L
Granulocyte precursor,GO_BP,Transcription Initiation At RNA Polymerase II Promoter (GO:0006367),1/66,0.479838987778948,0.524880649008766,2.303105090971704,1.691180831817685,ELOB
Granulocyte precursor,GO_BP,Transcription Initiation-Coupled Chromatin Remodeling (GO:0045815),1/32,0.27140582903435156,0.3575035760753309,4.797111827187015,6.256105678126389,SPI1
Granulocyte precursor,GO_BP,Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179),2/68,0.1443506010333197,0.26176180691788176,3.7996439461373837,7.354249648920078,FOS;APLP2
Granulocyte precursor,GO_BP,Translation (GO:0006412),2/135,0.384085772412288,0.44429436939480005,1.8863857206200059,1.8050624733592329,MRPL23;MRPL33
Granulocyte precursor,GO_BP,Translesion Synthesis (GO:0019985),3/23,0.0014369770336562513,0.020159532171196926,17.383081197900587,113.77598040785226,TNFSF13B;PCNA;PCLAF
Granulocyte precursor,GO_BP,Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0007178),2/113,0.3055805831614159,0.38458961228592764,2.2610723927211938,2.6805957450479787,FOS;APLP2
Granulocyte precursor,GO_BP,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169),1/228,0.8963840760629177,0.8982489527814952,0.6577377509708336,0.07194749995789862,STMN1
Granulocyte precursor,GO_BP,Transport Across Blood-Brain Barrier (GO:0150104),1/72,0.5098984433846554,0.5478091083203175,2.1092065828907933,1.4206428137323563,FABP5
Granulocyte precursor,GO_BP,Transport Along Microtubule (GO:0010970),1/19,0.17133854181412753,0.27849740486098346,8.17333875228612,14.418700526540675,BLOC1S1
Granulocyte precursor,GO_BP,Triglyceride Catabolic Process (GO:0019433),1/8,0.07606412942972562,0.20582896446807777,20.171929824561403,51.966491639494244,LCP1
Granulocyte precursor,GO_BP,Triglyceride Homeostasis (GO:0070328),1/18,0.16309725431352204,0.2718287571892034,8.640816326530611,15.669330671002644,LCP1
