source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Dendritic cell,Pre-B large,LILRB4,LAIR1,0.27537516,0.0,0.069045216,0.8820578564718483,0.3860731504805145,0.021503009,0.773978,0.058529996949489675,1.0
Dendritic cell,Pre-B large,LGALS3,ENG,0.3727584,0.0,0.061705027,0.582834991228325,0.39861347901837685,0.011679572,0.7639959,0.058529996949489675,1.0
Dendritic cell,Pre-B large,IL1B,SIGIRR,0.23463258,0.0,0.045122784,0.28083867904423954,0.09591847052299485,0.007337146,0.73462653,0.42032176196833776,1.0
Dendritic cell,Pre-B large,FAM3C,CLEC2D,0.33260936,0.001,0.054055236,0.10446559355597736,-0.06534296338163366,0.004800863,0.7518557,1.0,1.0
Dendritic cell,Pre-B large,CLEC11A,ITGB1,0.23385912,0.02,0.053212136,0.1637394645284609,-0.0750310335412041,0.0024459064,0.75038636,1.0,1.0
Dendritic cell,Pre-B large,CD99,PILRB,0.49902824,0.0,0.08379226,0.1310594205178398,-0.11333579555292497,0.0034499196,0.79046005,1.0,1.0
Dendritic cell,Pre-B large,CD99,CD81,0.6796248,0.0,0.41086045,0.6592598500027715,0.25216059802760543,0.012117731,0.8930859,0.1363392535363573,1.0
Dendritic cell,Pre-B large,CD22,PTPRC,0.2899395,1.0,0.049870685,-0.19046001732014411,-0.6461808189204731,0.0026440513,0.7442634,1.0,1.0
T proliferating,CD8 T cytotoxic,LGALS9,CD47,0.33094853,0.104,0.09292751,0.07871828620778365,0.05861151770640102,0.0018413904,0.79890114,1.0,1.0
T proliferating,CD8 T cytotoxic,ICAM2,ITGAL_ITGB2,0.23807782,0.003,0.056614585,0.2584959947363523,0.2506892879213161,0.008160517,0.75614583,1.0,1.0
Dendritic cell,Pre-B large,APP,LRP10,0.2411055,0.0,0.05550345,0.29311343337831086,0.12671706457912824,0.005616776,0.7543137,0.36008583060301874,1.0
Dendritic cell,Pre-B large,ADAM28,ITGA4,0.26147395,0.0,0.067163825,0.3212976368618535,0.11883516779591158,0.013351659,0.77155244,0.3637791942824579,1.0
Dendritic cell,Pre-B large,ADAM15,ITGB1,0.20169005,0.033,0.0406395,0.26077478162297907,-0.09450264263091984,0.005613205,0.7243017,1.0,1.0
Dendritic cell,Platelet,VCL,ITGB5,0.242132,0.0,0.058627896,2.31016587183029,0.6450794763313316,0.08761875,0.7593531,0.007048753145387976,1.0
Dendritic cell,Platelet,TLN1,ITGB5,0.33221993,0.0,0.10224175,2.307192123277292,0.6576371055421975,0.059258033,0.80646473,0.028396326243160408,1.0
Dendritic cell,Platelet,TGFB1,ITGB5,0.29195565,0.0,0.082748786,2.1451007987611828,0.4601257386892757,0.050908886,0.7894204,0.0423531614477726,1.0
Dendritic cell,Platelet,TGFB1,CXCR4,0.3078191,1.0,0.09359459,-0.39740723760286817,-1.1765614880935606,0.00063250324,0.7994751,1.0,1.0
Dendritic cell,Platelet,SIRPA,CD47,0.35413998,0.0,0.073091984,0.363159197346055,0.5573401718077866,0.014267739,0.7789211,0.13361878057523555,1.0
Dendritic cell,Platelet,SELPLG,SELP,0.2602025,0.0,0.06467899,2.5484374376212275,0.6483548296559265,0.068722546,0.76821315,0.017487945564978867,1.0
Dendritic cell,Platelet,LGALS9,CD47,0.6511204,0.0,0.41930136,0.6762619423399983,0.8461653670427459,0.0083086,0.8940529,0.11373108391327409,1.0
Dendritic cell,Platelet,ITGB3BP,ITGB5,0.21507886,0.0,0.045530796,2.1889435796617436,0.5795850976675326,0.041390188,0.7355031,0.058529996949489675,1.0
Dendritic cell,Platelet,ITGB3BP,ITGB3,0.29913312,0.0,0.07715119,3.7747510241177746,0.8102057385909671,0.045470193,0.78353965,0.03129975373161062,1.0
T proliferating,CD8 T cytotoxic,SPTAN1,PTPRA,0.21904282,0.002,0.04328258,0.2146969516603681,0.21889398016648207,0.007610475,0.73054814,1.0,1.0
T proliferating,CD8 T cytotoxic,S100A8,CD69,0.3245241,1.0,0.055515584,-0.2157810368713847,-2.656940421554024,0.00044292456,0.754334,1.0,1.0
T proliferating,CD8 T cytotoxic,PTDSS1,JMJD6,0.21598178,0.001,0.046637036,0.3001404354777294,0.23850056428111102,0.008347195,0.7378315,0.9719221025566362,1.0
Dendritic cell,Platelet,GHRL,TBXA2R,0.28256643,0.0,0.0471059,2.3941796474406547,0.9753392817336394,0.14191103,0.7387978,0.004453862756043935,1.0
Dendritic cell,Platelet,FBLN2,ITGB3,0.25485393,0.0,0.040827088,4.197828947434682,0.8792074832237826,0.6670875,0.72476125,0.00014881121057478788,1.0
Dendritic cell,Platelet,COPA,CD74,0.25873667,1.0,0.064525075,-0.2969740644814737,-1.5065198058519143,0.0006219462,0.76800096,1.0,1.0
Dendritic cell,Platelet,APP,CD74,0.3001498,1.0,0.09002943,-0.16062500963205495,-1.3855980876929999,0.0006299993,0.796344,1.0,1.0
