source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Granulocyte precursor,T proliferating,S100A8,ITGB2,2.5110006,0.0,5.269995,1.208355188179513,1.331511645463387,0.03616714,0.96765524,0.005912765708901329,0.0019474027826841657
Dendritic cell,NK,HLA-B,KLRD1,2.5079927,0.0,6.0602307,1.3117420284273154,1.4131492363593354,0.026533304,0.96977174,0.02343910515066233,0.002044255748391254
Granulocyte precursor,Dendritic cell,S100A8,ITGB2,2.4993832,0.0,5.188012,1.1956593942669067,1.3449863776863862,0.035604503,0.967409,0.006296902064063892,0.002110116365072884
Plasmacytoid DC,NK,HLA-B,KLRD1,2.498334,0.0,6.0210414,1.3027756109889574,1.4914803868272895,0.026361722,0.9696765,0.02390163733267721,0.0021434339671605523
Monocyte classical,Monocyte classical,S100A9,ITGB2,3.0417004,0.0,4.209036,1.2649103615250774,3.0943374311290324,0.026004942,0.9639463,0.025772744587222583,0.002160189723038856
Granulocyte precursor,T activated,S100A8,CD69,2.4908109,0.0,5.127519,1.159715124516963,1.486412869906479,0.04090931,0.9672236,0.004505318940532671,0.0022620788111941837
Monocyte classical,CD8 T memory,S100A9,ITGB2,3.0333726,0.0,4.1209717,1.2558097792211191,3.0514692124277234,0.02546085,0.9635771,0.027774779969167062,0.002401542346346303
Granulocyte precursor,NK,S100A9,ITGB2,2.4740026,0.0,5.4105053,1.2063546872805104,1.6116442275094947,0.033428054,0.9680645,0.008173155634218764,0.0024192650914478067
Monocyte classical,Monocyte classical,S100A8,ITGB2,2.9750252,0.0,4.1028805,1.2581453000460614,3.02198559716233,0.028157419,0.9634998,0.017528732457497743,0.0024370527996707735
Monocyte classical,Monocyte classical,S100A9,CD36,3.030427,0.0,4.0898223,1.6555111224578412,3.658733331163602,0.057589635,0.9634437,0.0007756797710725249,0.0024728203489944277
Monocyte classical,CD8 T memory,S100A8,ITGB2,2.9666972,0.0,4.0170374,1.2490447177421031,2.979117378461021,0.02756829,0.9631262,0.019564876824723538,0.0025633670803527167
Monocyte classical,Monocyte classical,S100A8,CD36,2.9637516,0.0,3.9866738,1.6487460609788251,3.5863814971969,0.062356435,0.9629911,0.0005262659073905277,0.0026555226681237733
Granulocyte precursor,CD8 T memory,S100A8,CD69,2.4275749,0.0,4.6812725,1.0944879518542405,1.625430228267449,0.037348982,0.9657492,0.00742790518282782,0.0028254534581669015
Granulocyte precursor,Erythroid early,S100A9,CD36,2.4247794,0.0,5.0839844,1.8045518573031638,1.6668936118626023,0.071588635,0.96708816,0.0002525894584775768,0.002922108448115703
CD8 T cytotoxic,T proliferating,HLA-B,CD8A,2.4153974,0.0,3.9842105,1.1346526926800555,1.1480376388166214,0.022544246,0.96298015,0.04256042367837129,0.003020368444567373
Monocyte classical,Monocyte classical,S100A9,CD68,3.006463,0.0,3.836412,1.6845298530321258,3.6577040692259883,0.0636294,0.96230036,0.0004777009597041127,0.0031001309968988226
CD4 T naive,NK,HLA-B,KLRD1,2.4089212,0.0,5.658273,1.2197683239841184,1.3026475040734695,0.024773426,0.96874946,0.030749537512901687,0.0031202318179482224
Monocyte classical,B naive,S100A8,CD69,2.9490006,0.0,3.8346202,1.2248821544953883,3.0319514088530597,0.030594064,0.96229196,0.012001072455038743,0.0031202318179482224
Granulocyte precursor,T proliferating,S100A9,ITGB2,2.405157,0.0,4.9538217,1.1311187185087175,1.1217088576278784,0.030606497,0.9666729,0.01195524361517841,0.003160626425223614
Monocyte classical,T activated,LGALS1,CD69,2.402016,0.0,4.8694434,1.2929125542141786,2.0313812336403694,0.025152808,0.966395,0.02885246147725634,0.0031809195768382056
Monocyte classical,Monocyte classical,S100A8,CD68,2.9397876,0.0,3.7396545,1.6777647915531098,3.585352235259286,0.06889612,0.9618344,0.00031939101493372156,0.0033873774562929136
Granulocyte precursor,Dendritic cell,S100A9,ITGB2,2.3935394,0.0,4.876757,1.1184229245961113,1.1351835898508775,0.030130362,0.9664194,0.012749896194086771,0.003471753059712238
Granulocyte precursor,Monocyte non-classical,S100A8,CD68,2.3894088,0.0,4.411942,1.7427327374240658,1.9294239636029722,0.08128177,0.96475554,0.00021472998896829906,0.0035143251057031142
Granulocyte precursor,Monocyte non-classical,S100A8,ITGB2,2.388744,0.0,4.4072514,1.0747507521875144,1.390875954117589,0.030246267,0.9647375,0.012489170155423434,0.003578662566678432
B naive,NK,HLA-B,KLRD1,2.3863258,0.0,5.566598,1.1987892432556675,1.3531941056620185,0.024372049,0.96850127,0.03246255019127726,0.0036002360585752286
Monocyte classical,Erythroid late,S100A9,CD36,2.982479,0.0,3.5827894,1.5716571544464402,3.4719958351892455,0.050450005,0.96103996,0.0012737585876008695,0.0039767644536545
CD8 T memory,T proliferating,HLA-B,CD8A,2.3684206,0.0,3.885064,1.0910421372701626,1.0895289118739848,0.021983234,0.9625283,0.04601191888038529,0.00420686693520199
Monocyte classical,Erythroid late,S100A8,CD36,2.915804,0.0,3.4924288,1.5648920929674242,3.3996440012225433,0.054625843,0.9605589,0.0009338529366230043,0.004395536568337068
NK,NK,B2M,KLRC1,3.044065,0.0,3.4723527,1.4623944470854668,1.4986344042374267,0.040067535,0.9604495,0.0037298319567341327,0.004515524037997556
Monocyte classical,NK,S100A8,CD69,2.9119055,0.0,3.4522464,1.1866200083365566,2.94985431090456,0.027543342,0.96033907,0.019722649807776275,0.004661607695379741
Granulocyte precursor,T proliferating,S100A8,CD69,2.3520935,0.0,4.1486135,1.0166317436883325,1.131976803389714,0.033099227,0.9636942,0.012678442580293773,0.004710810308427862
NK,T proliferating,HLA-B,CD8A,2.3497114,0.0,3.8455772,1.0736754710860967,1.062405745928657,0.021759802,0.9623437,0.04799763497715493,0.004735507689440201
Plasmacytoid DC,Pre-B large,APP,CD74,2.3403478,0.0,4.7167025,2.1307115959448333,1.3515743937038398,0.033006087,0.96587366,0.008665074244366158,0.004834930217445652
Monocyte classical,CD8 T memory,LGALS1,CD69,2.3387797,0.0,4.4456573,1.2276853815514561,2.1703985920013396,0.022963766,0.96488476,0.04007069732272577,0.004859945201464038
CD8 T cytotoxic,NK,B2M,KLRC1,2.9767404,0.0,3.3865821,1.381995626624354,1.424047600402854,0.039077826,0.9599718,0.0041743731895501806,0.005087931764162117
Granulocyte precursor,CD8 T cytotoxic,S100A8,ITGB2,2.3285952,0.0,3.982791,1.0090194277209057,1.4177066621853793,0.027333263,0.96297383,0.02039424906068262,0.005165069171303355
Granulocyte precursor,T activated,LGALS1,CD69,2.3251898,0.0,4.646155,1.2399572540050263,1.8433540706004317,0.023999425,0.96562445,0.03405540653708263,0.005321055501933518
CD8 T memory,NK,B2M,KLRC1,2.9373703,0.0,3.3364248,1.334987171059162,1.3435961659794993,0.03849906,0.9596841,0.004409074100173618,0.005399903987750732
Monocyte classical,NK,HLA-B,KLRD1,2.3152122,0.0,5.2780724,1.1327707149342972,1.2973481508340914,0.023108806,0.9676792,0.03898379011823246,0.005612952581389703
