gene,bin,scaled,lineage
JCHAIN,18,-0.57117933,Plasmacytoid DC
JCHAIN,19,1.6655524,Plasmacytoid DC
JCHAIN,20,0.33764958,Plasmacytoid DC
JCHAIN,21,0.68117005,Plasmacytoid DC
JCHAIN,22,-0.32504874,Plasmacytoid DC
JCHAIN,23,0.80452365,Plasmacytoid DC
JCHAIN,24,0.4915745,Plasmacytoid DC
JCHAIN,25,0.07036795,Plasmacytoid DC
JCHAIN,26,0.4569091,Plasmacytoid DC
JCHAIN,27,0.51898897,Plasmacytoid DC
JCHAIN,28,-0.2643143,Plasmacytoid DC
JCHAIN,29,0.19559948,Plasmacytoid DC
JCHAIN,30,0.74278533,Plasmacytoid DC
JCHAIN,31,0.71152604,Plasmacytoid DC
JCHAIN,32,-0.99794835,Plasmacytoid DC
JCHAIN,33,0.6040381,Plasmacytoid DC
JCHAIN,34,0.36621255,Plasmacytoid DC
JCHAIN,35,0.81770176,Plasmacytoid DC
JCHAIN,36,1.3130178,Plasmacytoid DC
JCHAIN,37,1.662272,Plasmacytoid DC
JCHAIN,38,1.1677696,Plasmacytoid DC
JCHAIN,39,1.4632908,Plasmacytoid DC
TPM2,0,-1.0379295,Plasmacytoid DC
TPM2,1,-0.8985236,Plasmacytoid DC
TPM2,2,-1.6557333,Plasmacytoid DC
TPM2,3,0.051997326,Plasmacytoid DC
TPM2,4,-2.3376365,Plasmacytoid DC
TPM2,5,-1.6435971,Plasmacytoid DC
TPM2,6,-0.6895023,Plasmacytoid DC
TPM2,7,0.90914905,Plasmacytoid DC
TPM2,8,-0.9883205,Plasmacytoid DC
TPM2,9,-0.44108942,Plasmacytoid DC
TPM2,10,0.46225882,Plasmacytoid DC
TPM2,11,0.13443281,Plasmacytoid DC
TPM2,12,-0.97000366,Plasmacytoid DC
TPM2,13,-0.30317312,Plasmacytoid DC
TPM2,14,0.44478104,Plasmacytoid DC
TPM2,15,-0.47755098,Plasmacytoid DC
TPM2,16,0.57929665,Plasmacytoid DC
TPM2,17,1.1550016,Plasmacytoid DC
