cell_type,library,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
B naive,GO_BP,"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",-0.8915938989259651,-1.5787552190842677,0.0,0.0016896269890999168,0.011,30/34,7.07%,NDUFS5;NDUFA4;NDUFB1;NDUFB7;NDUFB2;NDUFS6;NDUFA3;NDUFB9;NDUFC2;NDUFA2;NDUFB10;NDUFS8;NDUFB4;NDUFA6;NDUFB8;NDUFB6;NDUFAB1;NDUFV2;NDUFB3;NDUFS7;NDUFC1;NDUFB5;NDUFS4;NDUFS3;NDUFA8;NDUFV1;NDUFV3;NDUFA10;NDUFA9;NDUFS2
B naive,GO_BP,Positive Regulation Of B Cell Proliferation (GO:0030890),0.7584712938420021,1.5743340835250512,0.02040816326530612,0.3341800457885637,0.956,7/27,1.81%,CD74;MEF2C;TNFRSF13C;CD40;BCL2;FCRL3;CD81
B naive,GO_BP,Aerobic Respiration (GO:0009060),-0.8393196502405103,-1.5691405816881645,0.0,0.0028336452629696522,0.021,42/58,7.07%,NDUFS5;UQCRB;NDUFB1;NDUFB7;NDUFB2;NDUFS6;NDUFA11;NDUFA1;NDUFA3;NDUFB9;NDUFC2;NDUFA12;NDUFA13;NDUFA2;NDUFB10;NDUFS8;NDUFB11;ATP5F1D;NDUFB4;NDUFA6;NDUFB8;NDUFB6;NDUFAB1;UQCRC1;NDUFV2;UQCRC2;NDUFB3;MDH2;NDUFS7;NDUFC1;NDUFB5;NDUFS4;NDUFS3;NDUFA8;NDUFV1;SDHC;NDUFV3;NDUFA10;NDUFA9;NIPSNAP2;SDHB;NDUFS2
B naive,GO_BP,Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),-0.8786721374615306,-1.5689163709099365,0.0,0.002518795789306357,0.021,19/37,3.70%,UQCRB;UQCR11;UQCRQ;COX7B;COX8A;NDUFA4;COX6B1;COX6C;UQCR10;COX5B;COX5A;COX7A2;COX6A1;UQCRC1;UQCRC2;CYCS;NDUFS4;CHCHD5;CYC1
B naive,GO_BP,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),0.5874438535168284,1.5679619324446192,0.0,0.33415381266246447,0.959,31/123,2.31%,CD79A;IGHM;HLA-DRB1;HLA-DPA1;MS4A1;IGKC;IGHD;CD79B;MEF2C;IGLC3;BLK;NFKBID;CD19;PRKCB;PDE4B;BLNK;IGHA1;LAT2;IGHG3;IGHG1;BCL2;INPP5D;BTK;ICOSLG;IGHA2;IGHG2;BTN2A2;PLCG2;PRKD2;SYK;SH2B2
B naive,GO_BP,Regulation Of Cytokine Production Involved In Immune Response (GO:0002718),0.7794823538352098,1.5573441972885032,0.058333333333333334,0.3518749796879135,0.968,5/22,2.56%,LAPTM5;BTK;SCIMP;LILRB1;TNFRSF14
B naive,GO_BP,Lymphocyte Proliferation (GO:0046651),0.7689386738713827,1.5557803885401476,0.02912621359223301,0.33938432324770534,0.969,4/22,0.36%,CD79A;MS4A1;MEF2C;CD40
B naive,GO_BP,Antibacterial Humoral Response (GO:0019731),0.7734800202668392,1.5534658404641684,0.06306306306306306,0.33075903199725676,0.975,5/24,1.43%,IGHM;JCHAIN;IGHA1;RNASE6;IGHA2
B naive,GO_BP,Regulation Of Macrophage Activation (GO:0043030),0.7246535359247347,1.5339480292622367,0.0761904761904762,0.3724371422698636,0.984,4/25,2.93%,CD74;FCGR2B;CD200;IL6
B naive,GO_BP,Positive Regulation Of Regulatory T Cell Differentiation (GO:0045591),0.7784212736112983,1.5291302306900543,0.10344827586206896,0.3717504446454514,0.988,2/17,0.03%,HLA-DRA;HLA-DRB1
