cell_type,library,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
Dendritic cell,KEGG,Wnt signaling pathway,0.5921483345902975,0.9679656697675788,0.73,0.8237831915690571,1.0,50/141,29.29%,RAC1;RHOA;RBX1;CSNK1A1;CACYBP;CSNK2B;CTNNB1;CTNNBIP1;TLE3;CTBP1;PLCB2;TP53;PRKCB;CCND3;RAC2;CSNK2A1;TLE4;CUL1;TBL1XR1;PPP3CA;SERPINF1;EP300;PPP3R1;CTBP2;PRKACA;PSEN1;CREBBP;CSNK1E;RUVBL1;SKP1;CAMK2G;GSK3B;CHD8;PPP3CB;SIAH1;DVL3;CCND2;CSNK2A2;TBL1X;FBXW11;SENP2;MAP3K7;MAPK9;APC;NFATC3;NFATC2;SMAD3;DVL2;FZD2;MAPK8
Dendritic cell,KEGG,Human immunodeficiency virus 1 infection,0.5897920033985624,0.965730687937279,0.76,0.831825902676389,1.0,82/186,22.43%,CFL1;AP1S2;RAC1;SAMHD1;BID;FOS;GNB2;GNG5;CALM2;GNAI2;PAK1;BST2;PDIA3;ELOC;RBX1;GNAI3;CALR;MAP2K1;CYCS;GNAQ;RNF7;PAK2;BAX;MAP2K3;TAPBP;GNB1;MYD88;GNB4;PRKCB;NFKB1;TAP1;ELOB;MAPK1;CALM3;TNFRSF1A;CD4;RAC2;TNFRSF1B;TAB2;KRAS;AP1S1;CUL1;TAP2;CALM1;TRADD;AP1B1;PPP3CA;CCNB2;PTK2B;NRAS;DDB1;RAF1;CDK1;AP1M1;BAD;GNG2;APOBEC3C;MAP2K2;PPP3R1;CUL5;IRAK1;MAPK14;GNG7;CASP9;AP1G2;BAK1;IRAK4;GNGT2;SKP1;CUL4A;AP1S3;CCNB1;TBK1;BCL2;CHEK1;CASP8;AKT1;RELA;ITPR1;PPP3CB;IKBKB;HRAS
Dendritic cell,KEGG,Selenocompound metabolism,0.6338195909741426,0.9623935886676274,0.6337741607324516,0.8449646441486184,1.0,6/16,22.60%,TXNRD1;SEPHS2;KYAT3;PAPSS1;SEPHS1;TXNRD2
Dendritic cell,KEGG,Regulation of lipolysis in adipocytes,0.6027532375445099,0.9596969749150618,0.712,0.8539417676008745,1.0,13/44,26.79%,GNAI2;GNAS;GNAI3;ADCY7;INSR;PTGS2;PRKACA;PNPLA2;AKT1;PTGS1;AKT2;PIK3CB;ABHD5
Dendritic cell,KEGG,Signaling pathways regulating pluripotency of stem cells,0.5905352545304152,0.9590036717356625,0.753,0.8537261095062074,1.0,39/116,29.01%,KLF4;GRB2;MAP2K1;CTNNB1;ID2;PCGF5;JARID2;MAPK1;JAK2;KRAS;ZFHX3;NRAS;REST;RAF1;JAK1;MAP2K2;SMAD2;MAPK14;RIF1;ID1;SKIL;GSK3B;AKT1;SMAD5;HRAS;AKT2;TCF3;DVL3;MAPK3;PIK3CB;PCGF1;STAT3;ACVR2B;APC;SETDB1;SMAD3;DVL2;FZD2;PIK3CD
Dendritic cell,KEGG,Renin-angiotensin system,0.6390617885751546,0.9587746352511215,0.649746192893401,0.8515494318238729,1.0,7/16,29.20%,PRCP;ATP6AP2;CTSA;THOP1;CTSG;ANPEP;LNPEP
Dendritic cell,KEGG,Prolactin signaling pathway,0.5958226281364755,0.9558110713824233,0.715,0.8612168833902244,1.0,28/61,29.29%,FOS;GRB2;MAP2K1;NFKB1;MAPK1;JAK2;KRAS;NRAS;RAF1;MAP2K2;MAPK14;STAT1;GSK3B;FOXO3;AKT1;RELA;SOCS3;HRAS;AKT2;SHC1;SOCS6;CCND2;MAPK3;PIK3CB;STAT3;MAPK9;PIK3CD;MAPK8
Dendritic cell,KEGG,RIG-I-like receptor signaling pathway,0.599070261308086,0.9556572270827101,0.749,0.8585537061068457,1.0,28/51,29.81%,PIN1;DDX3X;ISG15;IRF7;NFKB1;TANK;TRADD;ATG12;MAP3K1;MAPK14;CYLD;TKFC;NFKBIB;TBK1;CASP8;ATG5;RELA;IKBKB;AZI2;SIKE1;OTUD5;MAP3K7;TRIM25;IKBKG;CHUK;MAPK9;MAPK8;NFKBIA
Dendritic cell,KEGG,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.616573072405098,0.9544437685854947,0.6908358509566969,0.860451777065858,1.0,9/25,18.21%,GPAA1;PIGT;DPM2;PIGS;PIGX;MPPE1;PIGK;PIGF;PIGP
Dendritic cell,KEGG,Inositol phosphate metabolism,0.5916624334058846,0.9540365547499498,0.734,0.85879933008753,1.0,42/71,36.14%,TPI1;MTMR14;IMPA2;PLCB2;PIP4K2A;PTEN;PIK3CG;INPP5D;CDIPT;FIG4;MTMR6;ITPK1;IMPA1;INPP5K;PI4KB;PIK3C2A;INPP5F;INPPL1;MTM1;PIK3CB;IPMK;PI4KA;INPP1;PLCD1;INPP4A;SACM1L;PIK3CD;PLCG2;ALDH6A1;PIP5K1C;MTMR4;PIK3C3;SYNJ2;MTMR1;PI4K2A;PIKFYVE;INPP5B;PIP5K1A;PLCB3;PI4K2B;MTMR2;PIP4K2C
