cell_type,library,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
HSPC,Reactome,Synthesis of DNA,0.7239507330138122,1.2842394805838477,0.0,0.04571191051655465,0.984,77/106,18.90%,PSMA4;SEM1;PSMA2;PSMA1;UBE2E1;PSMB7;MCM7;PCNA;POLD2;PSMB2;PSMA5;MCM3;PSMA3;ANAPC5;UBB;PSMC5;PSMB5;PSMD8;MCM5;PSMC3;POLE3;PSMB1;PSMD6;RBX1;PSMD7;PRIM1;PSMB6;RPA3;PSMB4;PSMC1;ANAPC11;PSMD14;CDT1;PSMD2;PSMA7;PSMD13;CDC26;PSMC6;PSMC2;RPA1;PSMD3;RFC1;PSMB3;ADRM1;RFC2;ANAPC15;MCM4;MCM2;PSMC4;SKP1;PSMD11;PSMD12;RFC4;PSMD1;GINS2;MCM6;FEN1;GMNN;RPA2;PSMA6;CUL1;RFC5;CDC16;CDK2;LIG1;ORC4;POLE4;ANAPC7;UBE2C;ORC6;SKP2;RFC3;POLD1;PRIM2;CDC45;UBE2S;ANAPC10
HSPC,Reactome,Transcriptional Regulation by RUNX2,0.7290180623924366,1.282519970653488,0.0,0.04694683246705871,0.984,41/94,9.91%,CDK4;PSMA4;SEM1;PSMA2;PSMA1;PSMB7;PSMB2;RUNX1;PSMA5;PSMA3;UBB;PSMC5;PSMB5;PSMD8;PSMC3;PSMB1;PSMD6;RBX1;PSMD7;PSMB6;PSMB4;PSMC1;PSMD14;PSMD2;PSMA7;PSMD13;PSMC6;PSMC2;PSMD3;BAX;PSMB3;ADRM1;PSMC4;SKP1;PSMD11;PSMD12;RBM14;PSMD1;CBFB;STUB1;HDAC3
HSPC,Reactome,Downstream Signaling Events of B Cell Receptor (BCR),0.735592943267716,1.2824168344959388,0.0,0.046712549693113135,0.985,40/66,13.09%,PPIA;PSMA4;SEM1;PSMA2;PSMA1;PSMB7;PSMB2;FKBP1A;PSMA5;PSMA3;UBB;PSMC5;PSMB5;PSMD8;PSMC3;PSMB1;PSMD6;PSMD7;PSMB6;PSMB4;PSMC1;PSMD14;PSMD2;PSMA7;PSMD13;PSMC6;PSMC2;PSMD3;PSMB3;ADRM1;PSMC4;SKP1;PSMD11;PSMD12;PSMD1;PPP3CA;KRAS;PPP3R1;PSMA6;CUL1
HSPC,Reactome,Deadenylation-dependent mRNA Decay,0.7415844627808823,1.2816717609901238,0.001001001001001001,0.047233119346748426,0.988,40/50,20.74%,LSM2;LSM7;LSM5;LSM4;LSM3;EIF4E;CNOT7;LSM6;EIF4B;EIF4A1;EXOSC8;PAIP1;EIF4A3;EXOSC5;CNOT2;PAN3;LSM1;EIF4A2;EXOSC9;CNOT8;PABPC1;EIF4G1;HBS1L;EXOSC1;CNOT1;EXOSC7;EXOSC4;EXOSC6;CNOT10;NT5C3B;DIS3;DCP2;DDX6;DCP1A;PARN;CNOT3;EXOSC3;CNOT4;EXOSC2;DCPS
HSPC,Reactome,Attenuation Phase,0.765224883132809,1.2803923873990115,0.008064516129032258,0.0480517865128855,0.99,9/25,4.87%,HSP90AB1;HSBP1;HSP90AA1;PTGES3;DNAJB6;FKBP4;UBB;MRPL18;HSPA8
HSPC,Reactome,Post-chaperonin Tubulin Folding Pathway,0.7856668962709343,1.2796497200613153,0.010131712259371834,0.04863006069777992,0.991,7/19,6.82%,TUBA1B;ARL2;TUBA1C;TUBA1A;TBCA;TUBB4B;TBCB
HSPC,Reactome,Defective B3GALTL Causes PpS,-0.47623503915677484,-1.2757568391242795,0.0,0.5848892255254686,0.2939936775553214,25/25,52.44%,CFP;THBS1;SPON1;ADAMTSL5;SBSPON;SPON2;ADAMTS17;ADAMTS14;ADAMTS4;ADAMTS2;ADAMTS9;ADAMTSL2;ADAMTS5;ADAMTS3;ADAMTSL3;SEMA5A;ADAMTS7;ADAMTS13;ADAMTS1;THSD1;THSD7A;ADAMTS6;ADAMTS10;ADAMTSL4;B3GLCT
HSPC,Reactome,Chaperone Mediated Autophagy,0.7847199551196404,1.27449855618577,0.014112903225806451,0.05409903988938187,0.992,9/17,7.88%,HSP90AB1;HSP90AA1;EEF1A1;PARK7;UBB;PLIN3;HSPA8;LAMP2;VIM
HSPC,Reactome,Signaling by Hedgehog,0.71652437612136,1.2743506082437697,0.0,0.05384401120968508,0.992,58/125,17.03%,TUBA1B;PSMA4;SEM1;PSMA2;PSMA1;PSMB7;TUBA1C;TUBA1A;PSMB2;PSMA5;PSMA3;UBB;CSNK1A1;PSMC5;PSMB5;PSMD8;VCP;PSMC3;GNAS;PSMB1;PSMD6;RBX1;PSMD7;PSMB6;PSMB4;PSMC1;PRKACB;P4HB;PSMD14;PSMD2;PSMA7;PSMD13;TUBB4B;PRKAR1A;OS9;PSMC6;PSMC2;PSMD3;PSMB3;ADRM1;PSMC4;SKP1;PSMD11;PSMD12;PSMD1;IFT52;IFT57;PSMA6;ERLEC1;CUL1;OFD1;SPOP;CDC73;CUL3;FUZ;GRK2;PRKAR2B;DERL2
HSPC,Reactome,Sema3A PAK Dependent Axon Repulsion,0.7815513666128333,1.273444059895976,0.027439024390243903,0.05458928236908876,0.992,5/16,10.36%,HSP90AB1;HSP90AA1;RAC1;PAK2;FES
HSPC,Reactome,Inhibition of DNA Recombination at Telomere,0.7716943083320602,1.2734046015822706,0.022199798183652877,0.05424258346330406,0.992,18/21,17.87%,POLR2F;POLR2E;POLR2G;POLR2I;ATRX;POLR2K;POLR2H;TERF2IP;POLR2J;POLR2L;POLR2D;POLR2C;POLR2B;TERF1;H2AFX;POLR2A;DAXX;ACD
HSPC,Reactome,Influenza Infection,0.7285393741106038,1.2727571490953462,0.0,0.0546560913589999,0.992,51/67,19.14%,RAN;PARP1;HSP90AA1;CLTA;CANX;CALR;KPNB1;PABPN1;TPR;POLR2F;POLR2E;POLR2G;POLR2I;GRSF1;POLR2K;EIF2AK2;IPO5;POLR2H;GTF2F1;XPO1;SLC25A6;SEC13;KPNA3;POLR2J;POLR2L;NUP107;DNAJC3;KPNA2;POLR2D;POLR2C;GTF2F2;POLR2B;NUP37;SEH1L;NUP54;NUP93;CLTC;POLR2A;RANBP2;TGFB1;NUP62;AAAS;NUP160;NUP98;NUP88;HSPA1A;RAE1;NUP58;NUP210;CPSF4;KPNA4
HSPC,Reactome,APC C-mediated Degradation of Cell Cycle Proteins,0.7249660410441092,1.2718343608808356,0.0,0.0549204086816814,0.993,48/73,15.62%,PSMA4;SEM1;PSMA2;PSMA1;UBE2E1;PSMB7;PSMB2;PSMA5;PSMA3;ANAPC5;UBB;MAD2L1;PSMC5;PSMB5;PSMD8;PSMC3;PSMB1;PSMD6;PSMD7;PSMB6;PSMB4;PSMC1;ANAPC11;PSMD14;PSMD2;PSMA7;PSMD13;CDC26;PSMC6;PSMC2;PSMD3;PTTG1;PSMB3;ADRM1;ANAPC15;BUB3;PSMC4;SKP1;PSMD11;PSMD12;PSMD1;PSMA6;CUL1;CDC16;CDK2;ANAPC7;UBE2C;RB1
HSPC,Reactome,Regulation of Mitotic Cell Cycle,0.7249660410441092,1.2718343608808356,0.0,0.0549204086816814,0.993,48/73,15.62%,PSMA4;SEM1;PSMA2;PSMA1;UBE2E1;PSMB7;PSMB2;PSMA5;PSMA3;ANAPC5;UBB;MAD2L1;PSMC5;PSMB5;PSMD8;PSMC3;PSMB1;PSMD6;PSMD7;PSMB6;PSMB4;PSMC1;ANAPC11;PSMD14;PSMD2;PSMA7;PSMD13;CDC26;PSMC6;PSMC2;PSMD3;PTTG1;PSMB3;ADRM1;ANAPC15;BUB3;PSMC4;SKP1;PSMD11;PSMD12;PSMD1;PSMA6;CUL1;CDC16;CDK2;ANAPC7;UBE2C;RB1
HSPC,Reactome,SARS-CoV-1-host Interactions,0.7322267930998875,1.2708011047099455,0.0,0.05573646430014313,0.993,21/59,5.71%,NPM1;HNRNPA1;YWHAE;YWHAQ;PPIA;EEF1A1;NMI;KPNB1;BST2;YWHAH;FKBP1A;RUNX1;UBB;PYCARD;YWHAG;UBE2I;PPIH;PPIB;PPIG;PCBP2;PSMC6
