,Platelet,Plasmacytoid DC,Pre-B large,Erythroid late,Erythroid early,B naive,Monocyte classical,NK
DRAXIN,-0.00333320557193177,0.004858229394215039,0.06054400008002345,-0.007902555938383205,-0.00661260130913131,-0.00633411609587382,-0.01273712316049116,0.005216591207973619
AGTRAP,-0.02359829119133445,0.0010363844801928453,-0.025364790592705994,-0.01082946624737753,0.045768184560086196,-0.11948549272355233,0.32196477600766543,-0.14935333529524492
MTHFR,-0.010380177822637629,0.014270850158702976,-0.007480839305854749,0.0017240187749461438,0.10302683893530286,-0.01176003225704249,0.08419976959069653,-0.08942302752560212
CLCN6,0.006508765421954443,0.000475453553662613,-0.00026906028954782246,-0.010560942242476697,0.00994701431715141,0.02113805156959668,0.03410129278281005,-0.04274455911617726
KIAA2013,-0.008747316276178797,0.019631296213052346,0.016401725915581155,-0.013086695053751894,0.02204539910796187,-0.00829986351644669,0.06312440950832295,-0.050677855903350465
PLOD1,-0.008416740868175192,0.013023402749758677,-0.006646081770434995,0.012985000035978078,0.061420998664094256,-0.041852659460352715,0.10492740462077327,-0.06952698355067632
MFN2,0.014947764031413978,0.01221808455018227,0.01284270602905819,0.010244641344273603,0.10756402517464139,-0.022708646779622234,0.05753406529695971,-0.0711142424779392
MIIP,-0.011898650131185313,0.0603663895343874,0.009963767787501757,0.0037459294106979056,0.06316491329294631,0.0057940064091351225,0.05520368833187863,-0.08050442232717164
TNFRSF8,-0.004323495335134293,0.008237940945087865,-0.006548868398346873,-0.008452141461644391,-0.008861959054119933,-0.014707079213751844,0.0876793095622182,-0.047353643278088935
TNFRSF1B,-0.02162607183888604,0.015141114107975168,-0.043261493180163785,-0.04167452711640395,-0.013526947842272591,-0.10782852646051533,0.2332106777855275,-0.06417597918346934
VPS13D,-0.005191551661398801,0.037199878571131446,0.0009765171930250476,-0.008620066463570731,0.025867292068944336,-0.01008519713362614,-0.012414486805586556,0.0030479480656504707
DHRS3,0.020220070235515145,-0.02032985630774854,-0.018003806887373543,0.013368132432075965,0.07728732587426962,-0.0776349914598408,-0.038515678862309013,0.06357125336699072
PRDM2,-0.017868606841193138,-0.012388619399329828,0.030448739224045594,-0.04983500374285083,-0.028918631827671428,0.17285654393859753,-0.05846754740248916,-0.07096028389234489
EFHD2,-0.028423508661263253,0.006904347546678957,-0.024011876685971042,-0.050656921072495975,-0.03536719283266646,-0.12040740961789835,0.26191948026790035,-0.06742295031513648
CASP9,-0.004639763968654933,0.017206087610378302,0.012633294320604432,0.003995965174958948,0.018883430414797616,0.00965577986389752,0.03278898263948121,-0.04455732242739314
DNAJC16,-0.004068430549150515,0.0008762098641204141,0.014054822057777954,0.0012672546109781077,0.011486398720457052,0.007254902625171211,0.009654000404843962,-0.01977035600652586
AGMAT,5.8964674432754124e-05,-0.00835970317977502,-0.006029234915333741,-0.002595195233874502,0.0028066745806067553,-0.0027464662679170197,-0.038515110591166996,0.032751003243423775
DDI2,-0.009590393624247769,0.010229177870631635,-0.006052187926836751,0.03815070917508808,0.172770194499179,-0.010379193694541655,-0.0008848879548963816,-0.06139571092131932
PLEKHM2,-0.009050211043415881,0.00956938810253404,0.004957732454063756,-0.005509592721409975,0.029903042699424672,-0.013846935228015094,0.07918357627180349,-0.05843496489339581
FBLIM1,-0.0025153731441911894,0.004414980719495638,-0.006706458266403925,-0.010288005427922728,-0.009339340375481961,0.010056998012564924,-0.018282896405228757,0.012168028933250311
UQCRHL,-0.00213358200733569,0.008607823425281682,0.025010021490432088,-0.0034559558283218978,0.019537581425505095,-0.0040397088938762165,0.005058496292713273,-0.013269142175649564
AL450998.2,-0.0002711732896646138,0.007266459430862882,0.015636992227212092,-0.014263828152845331,0.004420273452137333,0.005082528593701831,-0.011113483296128768,0.001522387446645058
SPEN,-0.010494879318357636,0.013084353119751571,0.03303800141887912,-0.006364623767223507,0.07498596909731563,-0.009885601135877144,0.057386257019146285,-0.06762510932993591
ZBTB17,-0.005082649844746595,-0.001941263565422826,0.02031529416275531,-0.006051003526743826,0.027727922285818964,-0.002512635425586032,0.0055257309448390815,-0.013815225734818465
ARHGEF19,-0.003168763473753084,-0.007207806329697865,0.010242087169330599,-0.004090590599253942,0.015749154938963394,-0.001265603129168587,-0.0156659729642751,0.0073812405917146875
CPLANE2,-0.0014394098790383061,-0.003847066240824703,0.00026852526459622165,0.0035835405804429633,0.050517142257842894,-0.005577783045358184,-0.0028776698761569103,-0.011458579870370526
FBXO42,-0.006139173719747195,0.0014264189509061796,0.015961459673963167,-0.010134264212214717,0.016214399171098598,-0.005090007517262981,-0.004262275092906369,0.000740357919791384
SZRD1,-0.0007625815582267199,-0.00035769534033124837,0.02812741924296429,0.004408557924213645,0.05982988733500888,-0.01517168563351598,0.0030740717376423355,-0.01839433336203284
NECAP2,-0.005149006454461539,-0.0267227933508447,0.0002474373044685985,0.021260389073923063,0.10854210213380953,-0.03434194907573149,-0.07378994258456986,0.04247626792376994
LINC01772,-0.0011148878791099452,-0.00850541384897804,-0.005931810341921906,-0.006217295148423722,0.007048590741447407,-0.010962077541070165,-0.017741170168770224,0.023418577180085394
AL137802.2,-0.0023413806923476615,-0.0036061196990721895,0.011680281002330971,-0.0027477025793072878,0.005943614099356679,0.008005993917534397,-0.010463893157404468,-0.0015131910164667454
NBPF1,-0.002004073484891971,0.002528020535584738,0.006641732594789393,-0.0016482997363479574,0.009910445779655698,-0.004227945438745772,0.002015493937830185,-0.002986416771960009
CROCC,-0.0013550943586036921,0.015492049133828763,0.0037897052390680943,-0.010137253217123754,-0.005257194986255186,-0.01263757937040528,-0.02781445208753544,0.030814847518784015
BX284668.5,-0.01050319941981077,0.01658860679132809,-0.012749361685436297,-0.026691233497129905,-0.026430523569148125,-0.011253743419791188,0.11760970254667191,-0.06101457597444959
BX284668.6,-0.0027806701487108672,-0.008906063554249695,-0.005222645007298147,-0.010838277934115062,-0.006587820427673974,-0.01707640591508004,-0.01795887521718961,0.03430394179457377
