lineage,gene,correlation,p_value,pct_cells
B naive,IGHD,0.6932771748546941,0.0,0.10067655477491542
B naive,CD74,0.6925360967013028,0.0,0.570335675253708
B naive,HLA-DRA,0.6896586268094731,0.0,0.39518605256310174
B naive,CD79B,0.6752207830130724,0.0,0.15178246161852718
B naive,IGKC,0.630269975814214,0.0,0.28672911787665883
B naive,HLA-DQB1,0.6228384848238209,0.0,0.25290137913088734
B naive,HLA-DPB1,0.6095573647810236,0.0,0.37913088732760863
B naive,HLA-DPA1,0.6066004712843528,0.0,0.32922196200884724
B naive,HLA-DRB1,0.5867696549104262,0.0,0.35477491543065315
B naive,TCL1A,0.5802586003891489,0.0,0.0834504293520687
B naive,HLA-DQA1,0.5728770203814648,0.0,0.1476710902940411
B naive,LINC00926,0.5634950018700441,0.0,0.06364819151704397
B naive,VPREB3,0.5578168496005116,0.0,0.08253968253968254
B naive,CD37,0.5226343568142021,0.0,0.5897475930262815
B naive,IGLC2,0.5176017860525544,0.0,0.131511839708561
B naive,TNFRSF13C,0.5089221022582757,0.0,0.060811865729898516
B naive,BANK1,0.5025138651687626,0.0,0.06128024980483997
B naive,FCER2,0.4751206872903216,0.0,0.046344002081707
B naive,HLA-DMB,0.4553404854390041,0.0,0.13968253968253969
B naive,HLA-DMA,0.4437859474897508,0.0,0.23338537600832682
B naive,MEF2C,0.4377782053317901,0.0,0.14879000780640125
B naive,RALGPS2,0.42841697698791287,0.0,0.05896435076762946
B naive,IGLC3,0.4256504195275393,0.0,0.06814988290398126
B naive,FAM129C,0.4203749693002662,0.0,0.05297944314337757
B naive,P2RX5,0.41942418511067875,0.0,0.05667447306791569
B naive,ADAM28,0.4159207108557793,0.0,0.053317720530835284
B naive,CD22,0.40913158274992595,0.0,0.0448607858443924
B naive,FCRLA,0.40433825518334743,0.0,0.03866770752016654
B naive,CD24,0.4037732113817043,0.0,0.05162633359354671
B naive,CD83,0.3991685354723277,0.0,0.09724173822534478
B naive,JCHAIN,0.3838762101460286,0.0,0.0750975800156128
B naive,BLK,0.3762802632884415,0.0,0.03653395784543326
B naive,ARHGAP24,0.37358784255007943,0.0,0.03963049700754619
B naive,HVCN1,0.36722698138603604,0.0,0.05438459536820193
B naive,PLPP5,0.36487541162914516,0.0,0.07723132969034609
B naive,LAPTM5,0.35879861631778165,0.0,0.6696851418162894
B naive,GNG7,0.34870623804245937,0.0,0.058912308092635965
B naive,MARCH1,0.34579787839021464,0.0,0.06528753577933906
B naive,BIRC3,0.3430704270283147,0.0,0.16174863387978142
B naive,SPIB,0.33957678690952275,0.0,0.04189435336976321
B naive,BCL11A,0.33727158357519754,0.0,0.10863908404892011
B naive,HLA-DOB,0.3364639056984848,0.0,0.026073380171740827
B naive,FCRL1,0.3338123635842815,0.0,0.022222222222222223
B naive,LINC01781,0.3325865124998759,0.0,0.023054905022118138
B naive,AFF3,0.33078817537895566,0.0,0.04530314858183711
B naive,CD19,0.3283707748852029,0.0,0.028831641946396046
B naive,TCOF1,0.3261750613137046,0.0,0.14296122820712984
Monocyte classical,LYZ,0.9613207685063728,0.0,0.23070517824616185
Monocyte classical,S100A9,0.9123404707539332,0.0,0.2195160031225605
Monocyte classical,S100A8,0.8866213023194109,0.0,0.2077543585740307
Monocyte classical,CST3,0.8836669038538035,0.0,0.24806141035649232
Monocyte classical,CSTA,0.857617431428031,0.0,0.1591465001301067
Monocyte classical,FCN1,0.8481256827137595,0.0,0.15602393963049702
Monocyte classical,LST1,0.8395132640818758,0.0,0.22414780119698152
Monocyte classical,TYROBP,0.7872343084245939,0.0,0.27137652875357793
Monocyte classical,LGALS1,0.7853681271311835,0.0,0.3207129846474109
Monocyte classical,S100A12,0.7694122229219792,0.0,0.1345823575331772
Monocyte classical,AIF1,0.7569829305798635,0.0,0.2829820452771272
Monocyte classical,VCAN,0.7388236939317193,0.0,0.12282071298464742
Monocyte classical,FTL,0.6971800311667352,0.0,0.953343741868332
Monocyte classical,CFD,0.6962619678582483,0.0,0.13642987249544627
Monocyte classical,MNDA,0.6957492099362607,0.0,0.12118136872235233
Monocyte classical,TYMP,0.6853502842973794,0.0,0.18758782201405153
Monocyte classical,S100A11,0.6790126323511114,0.0,0.23520686963309914
Monocyte classical,FCER1G,0.6706591770195143,0.0,0.21282851938589645
Monocyte classical,SERPINA1,0.6589851061349853,0.0,0.10137913088732761
Monocyte classical,NAMPT,0.6574190625246807,0.0,0.16981524850377308
Monocyte classical,CTSS,0.6490503345467872,0.0,0.31371324486078583
Monocyte classical,PSAP,0.6429215548683309,0.0,0.33361956804579757
Monocyte classical,NEAT1,0.6230669702389513,0.0,0.4818110850897736
Monocyte classical,S100A6,0.612875802969799,0.0,0.7235232890970595
Monocyte classical,CD14,0.6114408622150269,0.0,0.08678116055165236
Monocyte classical,SRGN,0.6101112021333753,0.0,0.5944834764506896
Monocyte classical,MS4A6A,0.6084844622660661,0.0,0.0994015092375748
Monocyte classical,SPI1,0.604266690328652,0.0,0.14015092375748114
Monocyte classical,CLEC7A,0.6019994881371248,0.0,0.08753577933905803
Monocyte classical,AC020656.1,0.5970575339219524,0.0,0.09830861306271142
Monocyte classical,CFP,0.5940021762153048,0.0,0.10395524329950559
Monocyte classical,FOS,0.5855475154393349,0.0,0.4708040593286495
Monocyte classical,GRN,0.576282277238511,0.0,0.15284933645589383
Monocyte classical,STXBP2,0.5756299135941685,0.0,0.20627114233671612
Monocyte classical,S100A4,0.5735260666688679,0.0,0.6597449908925319
Monocyte classical,SAT1,0.5722663768836824,0.0,0.43492063492063493
Monocyte classical,PLAUR,0.5690371318028076,0.0,0.09084048920114494
Monocyte classical,TSPO,0.5687620503412312,0.0,0.41925578974759303
Monocyte classical,AP1S2,0.5649446207301952,0.0,0.22209211553473848
Monocyte classical,COTL1,0.5605593212403326,0.0,0.3695550351288056
Monocyte classical,TNFSF13B,0.5559942351507778,0.0,0.10171740827478533
Monocyte classical,VIM,0.5373463299748094,0.0,0.5444184231069477
Monocyte classical,KLF4,0.5357465457783597,0.0,0.08233151183970856
Monocyte classical,LGALS2,0.5257640252995103,0.0,0.0669008587041374
Monocyte classical,RAB31,0.5252661328473776,0.0,0.08058808222742649
Monocyte classical,PYCARD,0.5197620399198088,0.0,0.18849856882643767
Monocyte classical,CEBPD,0.5165423205276773,0.0,0.09786625032526672
Monocyte classical,GSTP1,0.5162002624944281,0.0,0.4134009888108249
Monocyte classical,CD68,0.5130066390849032,0.0,0.08469945355191257
Monocyte classical,TKT,0.5112797115984927,0.0,0.2716887848035389
NK,IL32,0.6764511125419987,0.0,0.4115794951860526
NK,CD3D,0.6227815666858865,0.0,0.37395264116575594
NK,CD3E,0.5953400275941584,0.0,0.3477231329690346
