resource,source,target,ligand_complex,receptor_complex,donor_significant,significant_full
consensus,CD4 T memory,Monocyte non-classical,HLA-B,LILRB2,6,False
consensus,CD4 T memory,Monocyte non-classical,RPS19,C5AR1,6,False
consensus,Monocyte non-classical,Monocyte non-classical,HLA-B,LILRB2,6,True
consensus,CD4 T memory,Monocyte non-classical,HLA-A,LILRB2,6,True
consensus,NK,CD8 T memory,HLA-A,CD8B,6,False
consensus,CD4 T memory,CD8 T cytotoxic,HLA-B,CD3D,6,False
consensus,CD4 T memory,CD8 T cytotoxic,B2M,KLRD1,6,False
consensus,CD4 T memory,CD8 T cytotoxic,HLA-B,KLRD1,6,False
consensus,CD4 T memory,CD8 T cytotoxic,HLA-B,CD8A,6,False
consensus,NK,CD8 T memory,HLA-C,CD8B,6,True
consensus,Plasmacytoid DC,CD8 T cytotoxic,B2M,KLRD1,6,False
consensus,Granulocyte precursor,Monocyte non-classical,LGALS1,PTPRC,6,False
consensus,Granulocyte precursor,Monocyte classical,S100A9,ITGB2,6,False
consensus,Granulocyte precursor,Monocyte classical,S100A9,CD36,6,True
consensus,HSPC,Monocyte non-classical,RPS19,C5AR1,6,False
consensus,Granulocyte precursor,NK,LGALS1,CD69,6,False
consensus,Granulocyte precursor,Monocyte non-classical,RPS19,C5AR1,6,False
consensus,Granulocyte precursor,NK,S100A8,CD69,6,False
consensus,Granulocyte precursor,Pre-B small,S100A8,CD69,6,True
consensus,Granulocyte precursor,CD4 T memory,S100A8,CD69,6,True
consensus,Granulocyte precursor,CD8 T memory,S100A8,ITGB2,6,False
consensus,CD8 T cytotoxic,Monocyte non-classical,RPS19,C5AR1,6,False
consensus,Erythroid late,Monocyte non-classical,RPS19,C5AR1,6,False
consensus,Granulocyte precursor,CD8 T cytotoxic,LGALS1,ITGB1,6,False
consensus,CD8 T cytotoxic,CD8 T memory,HLA-A,CD8B,6,False
consensus,CD8 T cytotoxic,CD8 T memory,HLA-B,CD8B,6,False
consensus,CD8 T cytotoxic,CD8 T memory,HLA-C,CD8B,6,False
consensus,CD8 T cytotoxic,CD8 T cytotoxic,HLA-B,CD8B,6,False
consensus,CD8 T cytotoxic,CD8 T cytotoxic,HLA-A,CD8B,6,False
consensus,CD8 T cytotoxic,CD8 T cytotoxic,HLA-C,CD8B,6,False
consensus,Monocyte non-classical,CD8 T cytotoxic,HLA-B,KLRD1,6,False
consensus,Monocyte non-classical,CD8 T memory,LGALS1,CD69,6,False
consensus,Monocyte non-classical,Dendritic cell,TNFSF13B,HLA-DPB1,6,True
consensus,Monocyte classical,Monocyte non-classical,LGALS1,PTPRC,6,False
consensus,CD4 T naive,CD8 T cytotoxic,B2M,KLRD1,6,False
consensus,CD4 T memory,CD8 T memory,HLA-C,CD8A,6,False
consensus,CD4 T naive,NK,B2M,KLRC1,6,True
consensus,CD8 T memory,CD4 T naive,HLA-B,CD3D,6,False
consensus,Monocyte classical,CD4 T memory,LGALS1,ITGB1,6,False
consensus,CD4 T naive,Monocyte non-classical,RPS19,C5AR1,6,False
consensus,Dendritic cell,Monocyte non-classical,LGALS1,PTPRC,6,False
consensus,B naive,NK,B2M,KLRC1,5,False
consensus,Pre-B small,Monocyte non-classical,HLA-B,LILRB2,5,True
consensus,CD8 T cytotoxic,Plasmacytoid DC,CCL5,CXCR3,5,False
consensus,Granulocyte precursor,CD8 T memory,S100A9,ITGB2,5,False
consensus,Granulocyte precursor,B naive,S100A8,CD69,5,False
consensus,Granulocyte precursor,NK,B2M,KLRD1,5,False
consensus,HSPC,NK,B2M,KLRD1,5,False
consensus,Dendritic cell,NK,LGALS1,PTPRC,5,False
consensus,Granulocyte precursor,Platelet,LGALS1,ITGB1,5,False
consensus,Granulocyte precursor,NK,HLA-B,KLRD1,5,False
consensus,CD8 T cytotoxic,CD4 T naive,HLA-B,CD3D,5,False
consensus,Pre-B large,NK,HLA-B,KLRD1,5,True
consensus,Platelet,NK,CLEC1B,KLRB1,5,True
consensus,Plasmacytoid DC,Monocyte non-classical,RPS19,C5AR1,5,False
consensus,Plasmacytoid DC,NK,B2M,KLRC1,5,True
consensus,Plasmacytoid DC,Monocyte classical,APP,CD74,5,True
consensus,Plasmacytoid DC,Monocyte non-classical,HLA-B,LILRB2,5,False
consensus,Plasmacytoid DC,CD8 T cytotoxic,HLA-B,KLRD1,5,False
consensus,Pre-B small,CD8 T cytotoxic,HLA-B,CD3D,5,False
consensus,Monocyte classical,HSPC,S100A8,CD69,5,False
consensus,Monocyte classical,Dendritic cell,S100A9,CD68,5,True
consensus,CD4 T naive,Dendritic cell,B2M,CD1C,5,False
consensus,Dendritic cell,Monocyte classical,VIM,CD44,5,False
consensus,Monocyte non-classical,CD8 T cytotoxic,HLA-B,CD3D,5,False
consensus,Dendritic cell,CD8 T cytotoxic,LGALS1,ITGB1,5,False
consensus,Dendritic cell,CD8 T cytotoxic,HLA-B,KLRD1,5,False
consensus,Dendritic cell,NK,B2M,KLRC1,5,False
consensus,Monocyte non-classical,Monocyte non-classical,RPS19,C5AR1,5,False
consensus,Plasmacytoid DC,CD8 T cytotoxic,HLA-B,CD8A,5,False
consensus,NK,CD4 T naive,HLA-B,CD3D,5,False
consensus,CD4 T memory,CD8 T memory,HLA-A,CD8B,5,False
consensus,Dendritic cell,CD4 T memory,LGALS1,ITGB1,5,False
consensus,CD4 T memory,CD4 T memory,HLA-B,CD3D,5,False
consensus,CD4 T memory,CD8 T memory,HLA-B,CD3D,5,False
consensus,Granulocyte precursor,CD4 T memory,LGALS1,ITGB1,5,False
consensus,Granulocyte precursor,CD4 T memory,LGALS1,CD69,5,False
consensus,CD4 T memory,CD8 T memory,HLA-B,CD8B,5,False
consensus,Monocyte classical,Platelet,LGALS1,ITGB1,5,True
